,gammas,conv_iters,threshold,max_value,times_api,times_real,policy_updates,policies,V,all_stats
0,0.05,2,0.18999999999999997,4.18,0.00012874603271484375,0.0002799034118652344,2,"(0, 1, 1, 0)","(0.045000000000000005, 1.0, 1.0, 4.18)","[{'State': None, 'Action': None, 'Reward': 4.0, 'Error': 4.0, 'Time': 3.457069396972656e-05, 'Epsilon': 0.01, 'Max V': 4.0, 'Mean V': 1.5}, {'State': None, 'Action': None, 'Reward': 4.18, 'Error': 0.17999999999999972, 'Time': 9.417533874511719e-05, 'Epsilon': 0.01, 'Max V': 4.18, 'Mean V': 1.55625}]"
1,0.1,3,0.09000000000000001,4.3933,0.00025844573974609375,0.0003082752227783203,3,"(0, 1, 1, 0)","(0.09090000000000001, 1.009, 1.009, 4.3933)","[{'State': None, 'Action': None, 'Reward': 4.0, 'Error': 4.0, 'Time': 3.24249267578125e-05, 'Epsilon': 0.01, 'Max V': 4.0, 'Mean V': 1.5}, {'State': None, 'Action': None, 'Reward': 4.36, 'Error': 0.3600000000000003, 'Time': 8.845329284667969e-05, 'Epsilon': 0.01, 'Max V': 4.36, 'Mean V': 1.6125}, {'State': None, 'Action': None, 'Reward': 4.3933, 'Error': 0.032399999999999665, 'Time': 0.00013756752014160156, 'Epsilon': 0.01, 'Max V': 4.3933, 'Mean V': 1.62555}]"
2,0.15000000000000002,4,0.056666666666666664,4.62507025,0.0004401206970214844,0.0003497600555419922,4,"(0, 1, 1, 0)","(0.13978912500000001, 1.02055375, 1.02055375, 4.62507025)","[{'State': None, 'Action': None, 'Reward': 4.0, 'Error': 4.0, 'Time': 3.218650817871094e-05, 'Epsilon': 0.01, 'Max V': 4.0, 'Mean V': 1.5}, {'State': None, 'Action': None, 'Reward': 4.54, 'Error': 0.54, 'Time': 8.7738037109375e-05, 'Epsilon': 0.01, 'Max V': 4.54, 'Mean V': 1.66875}, {'State': None, 'Action': None, 'Reward': 4.614925, 'Error': 0.07290000000000038, 'Time': 0.00013685226440429688, 'Epsilon': 0.01, 'Max V': 4.614925, 'Mean V': 1.6981125000000001}, {'State': None, 'Action': None, 'Reward': 4.62507025, 'Error': 0.009841500000000059, 'Time': 0.00018334388732910156, 'Epsilon': 0.01, 'Max V': 4.62507025, 'Mean V': 1.70149171875}]"
3,0.2,4,0.04,4.877248,0.0004324913024902344,0.000347137451171875,4,"(0, 1, 1, 0)","(0.19015200000000002, 1.03672, 1.03672, 4.877248)","[{'State': None, 'Action': None, 'Reward': 4.0, 'Error': 4.0, 'Time': 3.123283386230469e-05, 'Epsilon': 0.01, 'Max V': 4.0, 'Mean V': 1.5}, {'State': None, 'Action': None, 'Reward': 4.72, 'Error': 0.7199999999999998, 'Time': 8.630752563476562e-05, 'Epsilon': 0.01, 'Max V': 4.72, 'Mean V': 1.7249999999999999}, {'State': None, 'Action': None, 'Reward': 4.8532, 'Error': 0.12960000000000044, 'Time': 0.0001347064971923828, 'Epsilon': 0.01, 'Max V': 4.8532, 'Mean V': 1.7772000000000001}, {'State': None, 'Action': None, 'Reward': 4.877248, 'Error': 0.02332799999999957, 'Time': 0.00018024444580078125, 'Epsilon': 0.01, 'Max V': 4.877248, 'Mean V': 1.78521}]"
4,0.25,5,0.03,5.1659816406250005,0.0006704330444335938,0.0003991127014160156,5,"(0, 1, 0, 0)","(0.24405820312499998, 1.06085546875, 1.165981640625, 5.1659816406250005)","[{'State': None, 'Action': None, 'Reward': 4.0, 'Error': 4.0, 'Time': 3.218650817871094e-05, 'Epsilon': 0.01, 'Max V': 4.0, 'Mean V': 1.5}, {'State': None, 'Action': None, 'Reward': 4.9, 'Error': 0.9000000000000004, 'Time': 8.821487426757812e-05, 'Epsilon': 0.01, 'Max V': 4.9, 'Mean V': 1.78125}, {'State': None, 'Action': None, 'Reward': 5.108125, 'Error': 0.2024999999999999, 'Time': 0.00013709068298339844, 'Epsilon': 0.01, 'Max V': 5.108125, 'Mean V': 1.8757812500000002}, {'State': None, 'Action': None, 'Reward': 5.15509375, 'Error': 0.04556249999999995, 'Time': 0.0001838207244873047, 'Epsilon': 0.01, 'Max V': 5.15509375, 'Mean V': 1.90281640625}, {'State': None, 'Action': None, 'Reward': 5.1659816406250005, 'Error': 0.010251562500000727, 'Time': 0.00022912025451660156, 'Epsilon': 0.01, 'Max V': 5.1659816406250005, 'Mean V': 1.90921923828125}]"
5,0.3,5,0.02333333333333333,5.48343913,0.0006833076477050781,0.0004055500030517578,5,"(0, 1, 0, 0)","(0.30153248999999993, 1.0900639, 1.4834391299999998, 5.48343913)","[{'State': None, 'Action': None, 'Reward': 4.0, 'Error': 4.0, 'Time': 3.147125244140625e-05, 'Epsilon': 0.01, 'Max V': 4.0, 'Mean V': 1.5}, {'State': None, 'Action': None, 'Reward': 5.08, 'Error': 1.08, 'Time': 8.821487426757812e-05, 'Epsilon': 0.01, 'Max V': 5.08, 'Mean V': 1.8575}, {'State': None, 'Action': None, 'Reward': 5.3797, 'Error': 0.29159999999999986, 'Time': 0.00014162063598632812, 'Epsilon': 0.01, 'Max V': 5.3797, 'Mean V': 2.029625}, {'State': None, 'Action': None, 'Reward': 5.460862, 'Error': 0.07873200000000002, 'Time': 0.00018858909606933594, 'Epsilon': 0.01, 'Max V': 5.460862, 'Mean V': 2.07634175}, {'State': None, 'Action': None, 'Reward': 5.48343913, 'Error': 0.021257640000000244, 'Time': 0.0002334117889404297, 'Epsilon': 0.01, 'Max V': 5.48343913, 'Mean V': 2.0896186625}]"
6,0.35000000000000003,6,0.018571428571428565,5.85189520875625,0.0009493827819824219,0.0004439353942871094,6,"(0, 1, 0, 0)","(0.367541088665625, 1.12725445009375, 1.8518952087562501, 5.85189520875625)","[{'State': None, 'Action': None, 'Reward': 4.0, 'Error': 4.0, 'Time': 3.170967102050781e-05, 'Epsilon': 0.01, 'Max V': 4.0, 'Mean V': 1.5}, {'State': None, 'Action': None, 'Reward': 5.26, 'Error': 1.2599999999999998, 'Time': 8.821487426757812e-05, 'Epsilon': 0.01, 'Max V': 5.26, 'Mean V': 1.95875}, {'State': None, 'Action': None, 'Reward': 5.667925, 'Error': 0.3969000000000006, 'Time': 0.00013780593872070312, 'Epsilon': 0.01, 'Max V': 5.667925, 'Mean V': 2.19303125}, {'State': None, 'Action': None, 'Reward': 5.7968072500000005, 'Error': 0.12502350000000018, 'Time': 0.00018453598022460938, 'Epsilon': 0.01, 'Max V': 5.7968072500000005, 'Mean V': 2.26721571875}, {'State': None, 'Action': None, 'Reward': 5.838634170625, 'Error': 0.03938240249999997, 'Time': 0.00023055076599121094, 'Epsilon': 0.01, 'Max V': 5.838634170625, 'Mean V': 2.29181283828125}, {'State': None, 'Action': None, 'Reward': 5.85189520875625, 'Error': 0.012405456787500047, 'Time': 0.0002765655517578125, 'Epsilon': 0.01, 'Max V': 5.85189520875625, 'Mean V': 2.299646489067969}]"
7,0.4,7,0.015,6.272009678848001,0.0012507438659667969,0.0004820823669433594,7,"(0, 1, 0, 0)","(0.43961005670400005, 1.1754803814399999, 2.272009678848, 6.272009678848001)","[{'State': None, 'Action': None, 'Reward': 4.0, 'Error': 4.0, 'Time': 3.075599670410156e-05, 'Epsilon': 0.01, 'Max V': 4.0, 'Mean V': 1.5}, {'State': None, 'Action': None, 'Reward': 5.44, 'Error': 1.4400000000000004, 'Time': 8.726119995117188e-05, 'Epsilon': 0.01, 'Max V': 5.44, 'Mean V': 2.06}, {'State': None, 'Action': None, 'Reward': 5.9728, 'Error': 0.5184000000000002, 'Time': 0.0001361370086669922, 'Epsilon': 0.01, 'Max V': 5.9728, 'Mean V': 2.366}, {'State': None, 'Action': None, 'Reward': 6.165184, 'Error': 0.18662400000000012, 'Time': 0.0001819133758544922, 'Epsilon': 0.01, 'Max V': 6.165184, 'Mean V': 2.4767360000000003}, {'State': None, 'Action': None, 'Reward': 6.23653888, 'Error': 0.06718464000000024, 'Time': 0.00022721290588378906, 'Epsilon': 0.01, 'Max V': 6.23653888, 'Mean V': 2.5186976000000003}, {'State': None, 'Action': None, 'Reward': 6.262393446400001, 'Error': 0.024186470400000326, 'Time': 0.0002715587615966797, 'Epsilon': 0.01, 'Max V': 6.262393446400001, 'Mean V': 2.5339705856000005}, {'State': None, 'Action': None, 'Reward': 6.272009678848001, 'Error': 0.008707129343999753, 'Time': 0.0003159046173095703, 'Epsilon': 0.01, 'Max V': 6.272009678848001, 'Mean V': 2.5397774489600002}]"
8,0.45,8,0.012222222222222223,6.756607450557208,0.001619577407836914,0.0005271434783935547,8,"(0, 1, 0, 0)","(0.5228980750361385, 1.2341266615049853, 2.756607450557208, 6.756607450557208)","[{'State': None, 'Action': None, 'Reward': 4.0, 'Error': 4.0, 'Time': 3.0994415283203125e-05, 'Epsilon': 0.01, 'Max V': 4.0, 'Mean V': 1.5}, {'State': None, 'Action': None, 'Reward': 5.62, 'Error': 1.62, 'Time': 8.678436279296875e-05, 'Epsilon': 0.01, 'Max V': 5.62, 'Mean V': 2.16125}, {'State': None, 'Action': None, 'Reward': 6.294325, 'Error': 0.6560999999999997, 'Time': 0.00013637542724609375, 'Epsilon': 0.01, 'Max V': 6.294325, 'Mean V': 2.54853125}, {'State': None, 'Action': None, 'Reward': 6.56824675, 'Error': 0.26572050000000047, 'Time': 0.00018286705017089844, 'Epsilon': 0.01, 'Max V': 6.56824675, 'Mean V': 2.70620028125}, {'State': None, 'Action': None, 'Reward': 6.682543470625, 'Error': 0.10761680250000005, 'Time': 0.00022840499877929688, 'Epsilon': 0.01, 'Max V': 6.682543470625, 'Mean V': 2.77341465078125}, {'State': None, 'Action': None, 'Reward': 6.72913423879375, 'Error': 0.04358480501250006, 'Time': 0.0002734661102294922, 'Epsilon': 0.01, 'Max V': 6.72913423879375, 'Mean V': 2.8009370667570312}, {'State': None, 'Action': None, 'Reward': 6.748629097300516, 'Error': 0.017651846030062757, 'Time': 0.0003180503845214844, 'Epsilon': 0.01, 'Max V': 6.748629097300516, 'Mean V': 2.812709242625645}, {'State': None, 'Action': None, 'Reward': 6.756607450557208, 'Error': 0.00714899764217547, 'Time': 0.00036263465881347656, 'Epsilon': 0.01, 'Max V': 6.756607450557208, 'Mean V': 2.817559909413885}]"
9,0.5,7,0.01,7.3001790625,0.001264810562133789,0.00048351287841796875,7,"(0, 0, 0, 0)","(0.6901790625, 1.5001790625, 3.3001790625000003, 7.3001790625)","[{'State': None, 'Action': None, 'Reward': 4.0, 'Error': 4.0, 'Time': 3.170967102050781e-05, 'Epsilon': 0.01, 'Max V': 4.0, 'Mean V': 1.5}, {'State': None, 'Action': None, 'Reward': 5.8, 'Error': 1.7999999999999998, 'Time': 8.797645568847656e-05, 'Epsilon': 0.01, 'Max V': 5.8, 'Mean V': 2.2625}, {'State': None, 'Action': None, 'Reward': 6.6325, 'Error': 0.8100000000000005, 'Time': 0.00013709068298339844, 'Epsilon': 0.01, 'Max V': 6.6325, 'Mean V': 2.740625}, {'State': None, 'Action': None, 'Reward': 7.00825, 'Error': 0.3645000000000005, 'Time': 0.0001838207244873047, 'Epsilon': 0.01, 'Max V': 7.00825, 'Mean V': 2.9569062500000003}, {'State': None, 'Action': None, 'Reward': 7.1824562499999995, 'Error': 0.16402499999999964, 'Time': 0.0002295970916748047, 'Epsilon': 0.01, 'Max V': 7.1824562499999995, 'Mean V': 3.08310625}, {'State': None, 'Action': None, 'Reward': 7.261358125, 'Error': 0.0126000000000005, 'Time': 0.0002751350402832031, 'Epsilon': 0.01, 'Max V': 7.261358125, 'Mean V': 3.158858125}, {'State': None, 'Action': None, 'Reward': 7.3001790625, 'Error': 4.440892098500626e-16, 'Time': 0.00031948089599609375, 'Epsilon': 0.01, 'Max V': 7.3001790625, 'Mean V': 3.1976790625}]"
