,gammas,time,iters,avg_score,policy,converge,v_map
0,0.05,42.26396059989929,199999,0.0,[0. 0. 0. 0. 0. 0. 1. 0. 0. 2. 1. 0. 0. 2. 1. 0.],False,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0.]
1,0.1,41.87055468559265,199999,0.0,[0. 0. 0. 0. 0. 0. 1. 0. 0. 2. 1. 0. 0. 2. 1. 0.],False,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0.]
2,0.15000000000000002,42.00913643836975,199999,0.0,[0. 0. 0. 0. 0. 0. 1. 0. 0. 2. 1. 0. 0. 2. 1. 0.],False,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0.]
3,0.2,41.98726725578308,199999,0.0,[0. 0. 0. 0. 0. 0. 1. 0. 0. 2. 1. 0. 0. 2. 1. 0.],False,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0.]
4,0.25,41.45196843147278,199999,0.0,[0. 0. 0. 0. 0. 0. 1. 0. 0. 2. 1. 0. 0. 2. 1. 0.],False,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0.]
5,0.3,42.04108476638794,199999,0.0,[0. 0. 0. 0. 0. 0. 1. 0. 0. 2. 1. 0. 0. 2. 1. 0.],False,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0.]
6,0.35000000000000003,41.41389775276184,199999,0.0,[0. 0. 0. 0. 0. 0. 1. 0. 0. 2. 1. 0. 0. 2. 1. 0.],False,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0.]
7,0.4,46.06447219848633,199999,0.0,[0. 0. 0. 0. 0. 0. 1. 0. 0. 2. 1. 0. 0. 2. 1. 0.],False,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0.]
8,0.45,45.84810972213745,199999,0.0,[0. 0. 0. 0. 0. 0. 1. 0. 0. 2. 1. 0. 0. 2. 1. 0.],False,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0.]
9,0.5,45.28628945350647,199999,0.0,[0. 0. 0. 0. 0. 0. 1. 0. 0. 2. 1. 0. 0. 2. 1. 0.],False,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0.]
10,0.55,43.686320066452026,199999,0.0,[0. 0. 0. 0. 0. 0. 1. 0. 0. 2. 1. 0. 0. 2. 1. 0.],False,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0.]
11,0.6000000000000001,43.93713116645813,199999,0.0,[0. 0. 0. 0. 0. 0. 1. 0. 0. 2. 1. 0. 0. 2. 1. 0.],False,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0.]
12,0.6500000000000001,43.38144373893738,199999,0.0,[0. 0. 0. 0. 0. 0. 1. 0. 0. 2. 1. 0. 0. 2. 1. 0.],False,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0.]
13,0.7000000000000001,43.79626178741455,199999,0.0,[0. 0. 0. 0. 0. 0. 1. 0. 0. 2. 1. 0. 0. 2. 1. 0.],False,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0.]
14,0.7500000000000001,42.02376437187195,199999,0.0,[0. 0. 0. 0. 0. 0. 1. 0. 0. 2. 1. 0. 0. 2. 1. 0.],False,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0.]
15,0.8,45.2045795917511,199999,0.0,[0. 0. 0. 0. 0. 0. 1. 0. 0. 2. 1. 0. 0. 2. 1. 0.],False,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0.]
16,0.8500000000000001,45.40557289123535,199999,0.0,[0. 0. 0. 0. 0. 0. 1. 0. 0. 2. 1. 0. 0. 2. 1. 0.],False,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0.]
17,0.9000000000000001,45.399147510528564,199999,0.0,[0. 0. 0. 0. 0. 0. 1. 0. 0. 2. 1. 0. 0. 2. 1. 0.],False,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0.]
