,gammas,time,iters,policy,converge,v_map
0,0.05,0.011100292205810547,16,[3. 3. 2. 3. 0. 0. 0. 0. 1. 1. 1. 1. 0. 2. 2. 0.],True,"[9.34496522e-10 5.42007983e-08 3.19691260e-06 5.51191828e-08
 0.00000000e+00 0.00000000e+00 1.88562724e-04 0.00000000e+00
 4.82173296e-06 2.84482245e-04 1.13105665e-02 3.39174755e-01
 0.00000000e+00 5.75354640e-03 3.39174755e-01 0.00000000e+00]"
1,0.1,0.013587236404418945,20,[3. 3. 2. 3. 0. 0. 0. 0. 1. 1. 1. 1. 0. 2. 2. 0.],True,"[3.27899800e-08 9.18119441e-07 2.65926738e-05 9.49738350e-07
 0.00000000e+00 0.00000000e+00 7.70237802e-04 0.00000000e+00
 4.03209585e-05 1.16930780e-03 2.30805414e-02 3.45623467e-01
 0.00000000e+00 1.19583715e-02 3.45623467e-01 0.00000000e+00]"
2,0.15000000000000002,0.014538288116455078,24,[3. 3. 2. 3. 0. 0. 0. 0. 1. 1. 1. 1. 0. 2. 2. 0.],True,"[2.74792080e-07 4.94625743e-06 9.37040991e-05 5.20578329e-06
 0.00000000e+00 0.00000000e+00 1.77517210e-03 0.00000000e+00
 1.42791128e-04 2.71303144e-03 3.54097379e-02 3.52740863e-01
 0.00000000e+00 1.87080997e-02 3.52740863e-01 0.00000000e+00]"
3,0.2,0.01860666275024414,28,[3. 3. 2. 3. 0. 0. 0. 0. 1. 1. 1. 1. 0. 2. 2. 0.],True,"[1.28688836e-06 1.67295486e-05 2.32926793e-04 1.79174456e-05
 0.00000000e+00 0.00000000e+00 3.24305765e-03 0.00000000e+00
 3.56587244e-04 4.99222142e-03 4.84129380e-02 3.60600924e-01
 0.00000000e+00 2.61137961e-02 3.60600924e-01 0.00000000e+00]"
4,0.25,0.01792764663696289,33,[3. 3. 2. 3. 0. 0. 0. 0. 1. 1. 1. 1. 0. 2. 2. 0.],True,"[4.39803943e-06 4.39803943e-05 4.79386297e-04 4.79386297e-05
 0.00000000e+00 0.00000000e+00 5.22531064e-03 0.00000000e+00
 7.36895718e-04 8.10585290e-03 6.22243414e-02 3.69293122e-01
 0.00000000e+00 3.43089977e-02 3.69293122e-01 0.00000000e+00]"
5,0.3,0.021363496780395508,36,[3. 3. 2. 3. 0. 0. 0. 0. 1. 1. 1. 1. 0. 2. 2. 0.],True,"[1.23595993e-05 9.88767942e-05 8.77531548e-04 1.09691444e-04
 0.00000000e+00 0.00000000e+00 7.78809249e-03 0.00000000e+00
 1.35348086e-03 1.21813278e-02 7.70033934e-02 3.78926303e-01
 0.00000000e+00 4.34564034e-02 3.78926303e-01 0.00000000e+00]"
6,0.35000000000000003,0.02481985092163086,41,[3. 3. 2. 3. 0. 0. 0. 0. 1. 1. 1. 1. 0. 2. 2. 0.],True,"[3.04554219e-05 2.00135630e-04 1.48485720e-03 2.25956531e-04
 0.00000000e+00 0.00000000e+00 1.10165337e-02 0.00000000e+00
 2.29584013e-03 1.73827896e-02 9.29425746e-02 3.89633925e-01
 0.00000000e+00 5.37569246e-02 3.89633925e-01 0.00000000e+00]"
7,0.4,0.02750420570373535,45,[3. 3. 2. 3. 0. 0. 0. 0. 1. 1. 1. 1. 0. 2. 2. 0.],True,"[6.84138228e-05 3.76276025e-04 2.37738034e-03 4.32250971e-04
 0.00000000e+00 0.00000000e+00 1.50207212e-02 0.00000000e+00
 3.68042262e-03 2.39227470e-02 1.10278029e-01 4.01581235e-01
 0.00000000e+00 6.54621511e-02 4.01581235e-01 0.00000000e+00]"
8,0.45,0.029591083526611328,50,[3. 3. 2. 3. 0. 0. 0. 0. 1. 1. 1. 1. 0. 2. 2. 0.],True,"[1.43760827e-04 6.70883860e-04 3.65791438e-03 7.83838796e-04
 0.00000000e+00 0.00000000e+00 1.99443427e-02 0.00000000e+00
 5.66092459e-03 3.20785727e-02 1.29304370e-01 4.14975281e-01
 0.00000000e+00 7.88918565e-02 4.14975281e-01 0.00000000e+00]"
9,0.5,0.03288674354553223,57,[3. 3. 2. 3. 0. 0. 0. 0. 1. 1. 1. 1. 0. 2. 2. 0.],True,"[2.87838810e-04 1.15135524e-03 5.46893740e-03 1.36723435e-03
 0.00000000e+00 0.00000000e+00 2.59774526e-02 0.00000000e+00
 8.44327177e-03 4.22163588e-02 1.50395778e-01 4.30079156e-01
 0.00000000e+00 9.44591029e-02 4.30079156e-01 0.00000000e+00]"
