,map_size,time,iters,avg_score,policy,converge,v_map
0,4,0.03457331657409668,71,0.411,[3. 3. 2. 3. 0. 0. 0. 0. 1. 1. 1. 1. 0. 2. 2. 0.],True,"[0.00105351 0.00316052 0.01158857 0.00386286 0.         0.
 0.04249144 0.         0.01764387 0.07057546 0.20086862 0.46688382
 0.         0.13436482 0.46688382 0.        ]"
1,8,0.1636040210723877,84,0.233,"[1. 0. 0. 0. 2. 2. 0. 0. 1. 1. 1. 0. 0. 2. 1. 1. 1. 0. 0. 2. 1. 2. 3. 2.
 1. 3. 1. 2. 3. 0. 0. 2. 0. 0. 2. 0. 0. 2. 1. 1. 1. 0. 0. 2. 0. 0. 2. 1.
 1. 0. 0. 0. 0. 1. 2. 1. 1. 1. 1. 1. 1. 2. 2. 0.]",True,"[2.07114537e-07 2.67891021e-07 0.00000000e+00 0.00000000e+00
 1.61470295e-05 6.45881178e-05 9.95397539e-05 0.00000000e+00
 5.60567128e-07 8.64449547e-07 2.15297877e-06 9.90044431e-06
 0.00000000e+00 1.58812717e-04 3.33570898e-04 7.94367143e-04
 1.37781897e-06 1.60870183e-06 0.00000000e+00 4.73492428e-05
 1.41966014e-04 3.95904572e-04 7.14674629e-04 2.84389767e-03
 3.90257403e-06 5.80124066e-06 2.34949274e-05 8.48797554e-05
 2.66576256e-04 1.10603551e-03 0.00000000e+00 1.05812236e-02
 9.80905545e-06 0.00000000e+00 2.67936411e-05 1.10473278e-04
 0.00000000e+00 4.86769673e-03 2.32324482e-02 3.94809965e-02
 3.53336478e-05 4.07695936e-05 0.00000000e+00 4.40692994e-04
 8.81385988e-05 0.00000000e+00 7.18135475e-02 1.34691538e-01
 1.00564998e-04 1.68514320e-04 0.00000000e+00 2.00485309e-03
 0.00000000e+00 6.69225058e-02 2.01143751e-01 4.66952604e-01
 2.33745670e-04 7.01237010e-04 2.57120237e-03 9.58357247e-03
 3.57630875e-02 1.33468778e-01 4.66952604e-01 0.00000000e+00]"
2,16,0.6799919605255127,87,0.011,"[0. 3. 0. 0. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 2. 1. 3. 1.
 0. 3. 1. 0. 0. 0. 0. 1. 1. 1. 1. 3. 2. 0. 0. 2. 0. 0. 0. 2. 0. 0. 1. 3.
 1. 0. 0. 0. 2. 1. 1. 0. 0. 1. 0. 0. 2. 1. 0. 0. 1. 0. 0. 1. 2. 2. 1. 0.
 0. 2. 3. 1. 0. 0. 2. 1. 3. 1. 1. 2. 2. 2. 3. 3. 1. 0. 0. 0. 0. 0. 0. 2.
 0. 2. 2. 2. 3. 0. 0. 0. 2. 3. 1. 0. 0. 2. 1. 3. 0. 0. 2. 0. 0. 0. 0. 1.
 0. 0. 2. 3. 1. 1. 0. 0. 1. 0. 0. 2. 1. 0. 0. 2. 2. 0. 0. 0. 2. 1. 0. 0.
 1. 0. 0. 0. 2. 1. 0. 0. 2. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 2. 2. 1. 1.
 2. 2. 2. 2. 2. 1. 1. 1. 1. 1. 1. 0. 0. 2. 2. 2. 2. 2. 3. 3. 2. 2. 1. 1.
 3. 3. 3. 3. 1. 2. 2. 2. 2. 3. 0. 0. 2. 2. 1. 1. 0. 0. 0. 0. 0. 2. 2. 1.
 0. 0. 0. 0. 0. 2. 3. 2. 3. 1. 1. 0. 0. 0. 2. 2. 1. 0. 0. 0. 0. 0. 0. 2.
 2. 2. 2. 0. 0. 1. 2. 2. 2. 1. 1. 1. 1. 1. 1. 0.]",True,"[1.08480716e-14 2.89281909e-15 7.23204769e-16 0.00000000e+00
 1.08468762e-12 1.48562082e-12 1.64356039e-12 3.20926260e-12
 1.95463895e-12 8.11623645e-13 0.00000000e+00 9.74987701e-13
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.25442150e-14 0.00000000e+00 0.00000000e+00 9.84808814e-13
 2.85312966e-12 4.29892289e-12 3.36497894e-12 1.08824114e-11
 4.60929321e-12 1.29185563e-12 1.03836129e-12 3.89995080e-12
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.20219892e-10
 1.19328788e-13 1.95789168e-13 4.87725397e-13 2.07091440e-12
 8.88203781e-12 1.52765059e-11 0.00000000e+00 4.64377851e-11
 1.02094157e-11 0.00000000e+00 0.00000000e+00 1.74864050e-11
 8.35320744e-11 0.00000000e+00 1.80329839e-09 4.80879569e-10
 2.81525985e-13 3.71891657e-13 1.71923411e-13 0.00000000e+00
 2.62805535e-11 6.32015686e-11 1.32301444e-10 2.11097098e-10
 0.00000000e+00 1.07331634e-09 4.39355675e-10 0.00000000e+00
 4.00173967e-10 1.78715726e-09 8.53561236e-09 0.00000000e+00
 7.54212283e-13 1.38214313e-12 0.00000000e+00 2.14308600e-11
 5.93191612e-11 1.57425845e-10 3.87208554e-10 8.76746262e-10
 0.00000000e+00 4.92722600e-09 1.12346204e-09 2.50728506e-10
 1.30180495e-10 0.00000000e+00 3.90876061e-08 1.86902418e-07
 1.63470600e-12 5.78461172e-12 1.84276902e-11 4.78351387e-11
 1.12889407e-10 3.36719104e-10 9.01870663e-10 3.78542566e-09
 1.71485114e-08 2.24393517e-08 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.76416251e-06 0.00000000e+00 7.08522067e-07
 0.00000000e+00 8.86066243e-12 3.85187004e-11 1.04855427e-10
 1.68408769e-10 6.24299013e-10 0.00000000e+00 0.00000000e+00
 5.95177795e-08 9.01210209e-08 3.68647973e-07 8.76559423e-07
 0.00000000e+00 8.82081257e-06 9.88022133e-06 2.64718585e-06
 0.00000000e+00 0.00000000e+00 6.93103852e-11 3.08033226e-10
 0.00000000e+00 2.61636719e-09 0.00000000e+00 7.37470349e-08
 1.90319365e-07 0.00000000e+00 8.76559423e-07 4.01414914e-06
 1.83176269e-05 3.24596790e-05 3.79331082e-05 0.00000000e+00
 1.46993733e-11 1.33853756e-11 0.00000000e+00 1.36600032e-09
 6.52196836e-09 1.24575369e-08 0.00000000e+00 1.78415809e-07
 8.18332011e-07 1.57604615e-06 0.00000000e+00 0.00000000e+00
 5.51143062e-05 1.06047660e-04 1.47325641e-04 0.00000000e+00
 4.54121178e-11 5.22275047e-11 1.04455009e-11 0.00000000e+00
 1.87863045e-08 5.31493491e-08 9.44457201e-08 0.00000000e+00
 2.32529454e-06 7.06189873e-06 2.10836661e-05 5.93624490e-05
 1.51206244e-04 3.27798352e-04 5.92647437e-04 8.61256028e-04
 1.29420966e-10 2.02340030e-10 0.00000000e+00 0.00000000e+00
 3.42602051e-08 1.52514721e-07 4.19079251e-07 1.18976488e-06
 3.74624197e-06 1.19005330e-05 3.89939830e-05 1.24522335e-04
 3.68870419e-04 8.95138080e-04 1.77418280e-03 2.85237668e-03
 3.15343835e-10 8.30051681e-10 2.42496377e-09 5.50638850e-09
 0.00000000e+00 2.90345005e-07 7.53116651e-07 1.78350320e-06
 4.50538231e-06 1.34467833e-05 4.93639141e-05 1.94378804e-04
 7.98007773e-04 2.33263718e-03 5.12339926e-03 9.63532390e-03
 4.31323659e-10 1.40995080e-09 5.78837866e-09 2.51069787e-08
 1.14240127e-07 5.46093654e-07 1.56300081e-06 3.22236878e-06
 5.33388633e-06 5.96946925e-06 1.10666767e-05 0.00000000e+00
 1.28853127e-03 5.64464856e-03 1.36490352e-02 3.34178963e-02
 1.20193609e-10 0.00000000e+00 0.00000000e+00 5.25614696e-09
 0.00000000e+00 8.77122454e-07 3.83951862e-06 8.99445439e-06
 1.61945801e-05 0.00000000e+00 0.00000000e+00 3.57975368e-04
 0.00000000e+00 1.22415704e-02 2.91826311e-02 1.20022550e-01
 4.94507787e-11 7.76095053e-11 2.80904785e-10 1.17375607e-09
 2.34751214e-10 0.00000000e+00 8.64013789e-06 2.49381733e-05
 6.66445596e-05 1.37015389e-04 0.00000000e+00 1.78987684e-03
 0.00000000e+00 2.63805723e-02 0.00000000e+00 4.46672304e-01
 2.67856854e-11 5.76919631e-11 1.53158347e-10 3.31728604e-10
 0.00000000e+00 3.60574939e-06 1.44229975e-05 4.90518523e-05
 1.71269236e-04 6.18432384e-04 2.30246030e-03 8.59140882e-03
 3.20631750e-02 1.19661291e-01 4.46581989e-01 0.00000000e+00]"
3,32,2.6854562759399414,84,0.0,[3. 2. 2. ... 1. 2. 0.],True,"[1.35626913e-31 4.40069342e-31 1.00682896e-30 ... 1.15740741e-01
 4.62962963e-01 0.00000000e+00]"
4,64,10.743663549423218,84,0.0,[0. 0. 0. ... 2. 1. 0.],True,[0.         0.         0.         ... 0.11767525 0.44608548 0.        ]
5,128,50.10724902153015,89,0.0,[0. 0. 0. ... 0. 2. 0.],True,[0.        0.        0.        ... 0.        0.4653413 0.       ]
