,gamma,conv_iters,threshold,max_value,times_api,times_real,policy_updates,policies
0,0.0,0,0,1.5647578536843425,1.988223695719242,3.991490602493286,100000,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0)"
1,0.05,0,0,1.1524416204922192,1.9987848852682113,4.027880668640137,100000,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0)"
2,0.1,0,0,2.3985248411262705,1.9888620837020874,4.0398850440979,100000,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0)"
3,0.15000000000000002,0,0,1.7419079388859307,1.9930264149951935,4.022687911987305,100000,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0)"
4,0.2,0,0,2.300092283339549,1.9837537167716026,4.015505075454712,100000,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0)"
5,0.25,0,0,2.9656541958386935,1.9952055287265777,4.020698308944702,100000,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0)"
6,0.30000000000000004,0,0,2.599035648781241,1.9840414007568359,4.006422281265259,100000,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0)"
7,0.35000000000000003,0,0,2.4004295691108846,1.9920780595254899,4.015134811401367,100000,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0)"
8,0.4,0,0,3.852176875795926,1.9723076111793518,3.988626718521118,100000,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0)"
9,0.45,0,0,1.236949467148613,1.988965066998005,4.009277105331421,100000,"(0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1)"
10,0.5,0,0,1.3096456735063347,1.9817263916134835,4.004209280014038,100000,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)"
11,0.55,0,0,3.191454280476497,2.014267902331352,4.049959421157837,100000,"(0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0)"
12,0.6000000000000001,0,0,2.614705721566881,1.9823066720843314,4.008891582489014,100000,"(0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0)"
13,0.65,0,0,1.964864098099173,1.9916712491679192,4.021817207336426,100000,"(0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0)"
14,0.7000000000000001,0,0,3.5723547383492247,2.021350432705879,4.079870700836182,100000,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0)"
15,0.75,0,0,3.920735084537165,1.995750537097454,4.0242767333984375,100000,"(0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0)"
16,0.8,0,0,4.291753159878857,1.9975139305019378,4.0396339893341064,100000,"(0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0)"
17,0.8500000000000001,0,0,3.454885569316257,2.0078750263690948,4.035438060760498,100000,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0)"
18,0.9,0,0,4.993177256685622,1.9849366004705429,4.010059356689453,100000,"(0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0)"
