,states,conv_iters,max_value,times_api,times_real,policy_updates,policies,V,all_stats
0,9,2,82.1056,0.0017511844635009766,0.0013055801391601562,2,"(0, 0, 0)","(74.64959999999999, 78.1056, 82.1056)","[{'State': None, 'Action': None, 'Reward': 37.59151729361271, 'Error': 21.467053774299423, 'Time': 0.0006995201110839844, 'Max V': 37.59151729361271, 'Mean V': 20.43465454851467}, {'State': None, 'Action': None, 'Reward': 82.1056, 'Error': 1.4210854715202004e-14, 'Time': 0.0010516643524169922, 'Max V': 82.1056, 'Mean V': 78.28693333333332}]"
1,16,3,74.9392384,0.0018591880798339844,0.0010941028594970703,3,"(0, 0, 0, 0)","(64.49725439999999, 67.48323839999999, 70.9392384, 74.9392384)","[{'State': None, 'Action': None, 'Reward': 37.59151729361271, 'Error': 21.467053774299423, 'Time': 0.0003056526184082031, 'Max V': 37.59151729361271, 'Mean V': 18.357106791214324}, {'State': None, 'Action': None, 'Reward': 37.59151729361269, 'Error': 18.011053774299423, 'Time': 0.0006234645843505859, 'Max V': 37.59151729361269, 'Mean V': 23.72387023478916}, {'State': None, 'Action': None, 'Reward': 74.9392384, 'Error': 1.4210854715202004e-14, 'Time': 0.0009300708770751953, 'Max V': 74.9392384, 'Mean V': 69.46474239999999}]"
2,25,4,68.74750197759998,0.0030908584594726562,0.0014057159423828125,4,"(0, 0, 0, 0, 0)","(55.725627801599984, 58.30551797759998, 61.291501977599985, 64.74750197759998, 68.74750197759998)","[{'State': None, 'Action': None, 'Reward': 37.59151729361271, 'Error': 21.467053774299423, 'Time': 0.0003027915954589844, 'Max V': 37.59151729361271, 'Mean V': 17.110578136834118}, {'State': None, 'Action': None, 'Reward': 37.59151729361269, 'Error': 18.011053774299423, 'Time': 0.0006189346313476562, 'Max V': 37.59151729361269, 'Mean V': 21.403988891693977}, {'State': None, 'Action': None, 'Reward': 37.59151729361262, 'Error': 15.025069774299407, 'Time': 0.0009293556213378906, 'Max V': 37.59151729361262, 'Mean V': 25.006199646553814}, {'State': None, 'Action': None, 'Reward': 68.74750197759998, 'Error': 0.0, 'Time': 0.001239776611328125, 'Max V': 68.74750197759998, 'Mean V': 61.76353034239999}]"
3,36,5,63.39784170864639,0.004605293273925781,0.0017015933990478516,5,"(0, 0, 0, 0, 0, 0)","(48.14694242058239, 50.37596753264639, 52.95585770864639, 55.941841708646386, 59.39784170864639, 63.39784170864639)","[{'State': None, 'Action': None, 'Reward': 37.59151729361271, 'Error': 21.467053774299423, 'Time': 0.00030112266540527344, 'Max V': 37.59151729361271, 'Mean V': 16.27955903391398}, {'State': None, 'Action': None, 'Reward': 37.59151729361269, 'Error': 18.011053774299423, 'Time': 0.0006146430969238281, 'Max V': 37.59151729361269, 'Mean V': 19.85740132963053}, {'State': None, 'Action': None, 'Reward': 37.59151729361262, 'Error': 15.025069774299407, 'Time': 0.00092315673828125, 'Max V': 37.59151729361262, 'Mean V': 22.859243625347048}, {'State': None, 'Action': None, 'Reward': 37.5915172936126, 'Error': 12.445179598299479, 'Time': 0.001232147216796875, 'Max V': 37.5915172936126, 'Mean V': 25.363421921063566}, {'State': None, 'Action': None, 'Reward': 63.39784170864639, 'Error': 7.105427357601002e-15, 'Time': 0.0015342235565185547, 'Max V': 63.39784170864639, 'Mean V': 55.036048797969066}]"
4,49,6,58.775735236270485,0.0066585540771484375,0.002066373825073242,6,"(0, 0, 0, 0, 0, 0, 0)","(41.59895825138319, 43.52483594820649, 45.75386106027048, 48.33375123627049, 51.31973523627049, 54.775735236270485, 58.775735236270485)","[{'State': None, 'Action': None, 'Reward': 37.59151729361271, 'Error': 21.467053774299423, 'Time': 0.00030875205993652344, 'Max V': 37.59151729361271, 'Mean V': 15.685973960399595}, {'State': None, 'Action': None, 'Reward': 37.59151729361269, 'Error': 18.011053774299423, 'Time': 0.0006339550018310547, 'Max V': 37.59151729361269, 'Mean V': 18.752695928156633}, {'State': None, 'Action': None, 'Reward': 37.59151729361262, 'Error': 15.025069774299407, 'Time': 0.0009582042694091797, 'Max V': 37.59151729361262, 'Mean V': 21.32570361019936}, {'State': None, 'Action': None, 'Reward': 37.59151729361259, 'Error': 12.445179598299443, 'Time': 0.0012683868408203125, 'Max V': 37.59151729361259, 'Mean V': 23.472142149384943}, {'State': None, 'Action': None, 'Reward': 37.59151729361257, 'Error': 10.216154486235439, 'Time': 0.0015921592712402344, 'Max V': 37.59151729361257, 'Mean V': 25.25002494914199}, {'State': None, 'Action': None, 'Reward': 58.775735236270485, 'Error': 7.105427357601002e-15, 'Time': 0.0018970966339111328, 'Max V': 58.775735236270485, 'Mean V': 49.15465888642029}]"
5,64,7,54.7822352441377,0.00871729850769043,0.002349376678466797,7,"(0, 0, 0, 0, 0, 0, 0, 0)","(35.941499929195075, 37.605458259250405, 39.5313359560737, 41.7603610681377, 44.3402512441377, 47.3262352441377, 50.7822352441377, 54.7822352441377)","[{'State': None, 'Action': None, 'Reward': 37.59151729361271, 'Error': 21.467053774299423, 'Time': 0.00030231475830078125, 'Max V': 37.59151729361271, 'Mean V': 15.240785155263808}, {'State': None, 'Action': None, 'Reward': 37.59151729361269, 'Error': 18.011053774299423, 'Time': 0.0006220340728759766, 'Max V': 37.59151729361269, 'Mean V': 17.924166877051213}, {'State': None, 'Action': None, 'Reward': 37.59151729361262, 'Error': 15.025069774299407, 'Time': 0.000934600830078125, 'Max V': 37.59151729361262, 'Mean V': 20.175548598838596}, {'State': None, 'Action': None, 'Reward': 37.5915172936126, 'Error': 12.445179598299479, 'Time': 0.0012438297271728516, 'Max V': 37.5915172936126, 'Mean V': 22.053682320625953}, {'State': None, 'Action': None, 'Reward': 37.59151729361257, 'Error': 10.216154486235439, 'Time': 0.0015575885772705078, 'Max V': 37.59151729361257, 'Mean V': 23.60932977041339}, {'State': None, 'Action': None, 'Reward': 37.59151729361255, 'Error': 8.290276789412179, 'Time': 0.0018744468688964844, 'Max V': 37.59151729361255, 'Mean V': 24.886349081192776}, {'State': None, 'Action': None, 'Reward': 54.7822352441377, 'Error': 7.105427357601002e-15, 'Time': 0.002182483673095703, 'Max V': 54.7822352441377, 'Mean V': 44.008701523650956}]"
6,81,8,51.33185125093498,0.3307039737701416,0.04260134696960449,8,"(0, 0, 0, 0, 0, 0, 0, 0, 0)","(31.053455938824552, 32.491115935992354, 34.155074266047684, 36.08095196287098, 38.30997707493498, 40.88986725093498, 43.87585125093498, 47.33185125093498, 51.33185125093498)","[{'State': None, 'Action': None, 'Reward': 37.59151729361271, 'Error': 21.467053774299423, 'Time': 0.040166378021240234, 'Max V': 37.59151729361271, 'Mean V': 14.89452719571375}, {'State': None, 'Action': None, 'Reward': 37.59151729361269, 'Error': 18.011053774299423, 'Time': 0.04056715965270996, 'Max V': 37.59151729361269, 'Mean V': 17.279755392858107}, {'State': None, 'Action': None, 'Reward': 37.59151729361262, 'Error': 15.025069774299407, 'Time': 0.04088854789733887, 'Max V': 37.59151729361262, 'Mean V': 19.28098359000244}, {'State': None, 'Action': None, 'Reward': 37.5915172936126, 'Error': 12.445179598299479, 'Time': 0.04119992256164551, 'Max V': 37.5915172936126, 'Mean V': 20.95043578714675}, {'State': None, 'Action': None, 'Reward': 37.59151729361257, 'Error': 10.216154486235439, 'Time': 0.04150962829589844, 'Max V': 37.59151729361257, 'Mean V': 22.33323352029114}, {'State': None, 'Action': None, 'Reward': 37.59151729361255, 'Error': 8.290276789412179, 'Time': 0.04181647300720215, 'Max V': 37.59151729361255, 'Mean V': 23.46836179653948}, {'State': None, 'Action': None, 'Reward': 37.59151729361253, 'Error': 6.626318459356845, 'Time': 0.04212450981140137, 'Max V': 37.59151729361253, 'Mean V': 24.389503662029718}, {'State': None, 'Action': None, 'Reward': 51.33185125093498, 'Error': 7.105427357601002e-15, 'Time': 0.04243135452270508, 'Max V': 51.33185125093498, 'Mean V': 39.5022217980456}]"
7,100,9,48.350719480807825,0.014674901962280273,0.003080606460571289,9,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(26.830185931144413, 28.0723241686974, 29.509984165865202, 31.173942495920528, 33.09982019274383, 35.32884530480782, 37.90873548080783, 40.89471948080783, 44.35071948080783, 48.350719480807825)","[{'State': None, 'Action': None, 'Reward': 37.59151729361271, 'Error': 21.467053774299423, 'Time': 0.0003154277801513672, 'Max V': 37.59151729361271, 'Mean V': 14.617520828073705}, {'State': None, 'Action': None, 'Reward': 37.59151729361269, 'Error': 18.011053774299423, 'Time': 0.0006542205810546875, 'Max V': 37.59151729361269, 'Mean V': 16.764226205503626}, {'State': None, 'Action': None, 'Reward': 37.59151729361262, 'Error': 15.025069774299407, 'Time': 0.0009829998016357422, 'Max V': 37.59151729361262, 'Mean V': 18.565331582933517}, {'State': None, 'Action': None, 'Reward': 37.5915172936126, 'Error': 12.445179598299479, 'Time': 0.0013134479522705078, 'Max V': 37.5915172936126, 'Mean V': 20.06783856036339}, {'State': None, 'Action': None, 'Reward': 37.59151729361257, 'Error': 10.216154486235439, 'Time': 0.001649618148803711, 'Max V': 37.59151729361257, 'Mean V': 21.312356520193344}, {'State': None, 'Action': None, 'Reward': 37.59151729361255, 'Error': 8.290276789412179, 'Time': 0.0019669532775878906, 'Max V': 37.59151729361255, 'Mean V': 22.333971968816844}, {'State': None, 'Action': None, 'Reward': 37.59151729361253, 'Error': 6.626318459356845, 'Time': 0.0022804737091064453, 'Max V': 37.59151729361253, 'Mean V': 23.16299964775805}, {'State': None, 'Action': None, 'Reward': 37.59151729361251, 'Error': 5.188658462189018, 'Time': 0.00260162353515625, 'Max V': 37.59151729361251, 'Mean V': 23.825631493693738}, {'State': None, 'Action': None, 'Reward': 48.350719480807825, 'Error': 7.105427357601002e-15, 'Time': 0.002910137176513672, 'Max V': 48.350719480807825, 'Mean V': 35.55199961824105}]"
8,121,10,45.77502163141796,0.018062829971313477,0.0034379959106445312,10,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(23.18128064450877, 24.25448808175455, 25.496626319307527, 26.934286316475333, 28.598244646530663, 30.52412234335396, 32.75314745541796, 35.33303763141796, 38.31902163141796, 41.77502163141796, 45.77502163141796)","[{'State': None, 'Action': None, 'Reward': 37.59151729361271, 'Error': 21.467053774299423, 'Time': 0.0003108978271484375, 'Max V': 37.59151729361271, 'Mean V': 14.390879254550033}, {'State': None, 'Action': None, 'Reward': 37.59151729361269, 'Error': 18.011053774299423, 'Time': 0.0006453990936279297, 'Max V': 37.59151729361269, 'Mean V': 16.342429597668136}, {'State': None, 'Action': None, 'Reward': 37.59151729361262, 'Error': 15.025069774299407, 'Time': 0.0009877681732177734, 'Max V': 37.59151729361262, 'Mean V': 17.9797981226044}, {'State': None, 'Action': None, 'Reward': 37.5915172936126, 'Error': 12.445179598299479, 'Time': 0.001317739486694336, 'Max V': 37.5915172936126, 'Mean V': 19.345713556631548}, {'State': None, 'Action': None, 'Reward': 37.59151729361257, 'Error': 10.216154486235439, 'Time': 0.0016548633575439453, 'Max V': 37.59151729361257, 'Mean V': 20.47709352011333}, {'State': None, 'Action': None, 'Reward': 37.59151729361255, 'Error': 8.290276789412179, 'Time': 0.001990079879760742, 'Max V': 37.59151729361255, 'Mean V': 21.405834837043773}, {'State': None, 'Action': None, 'Reward': 37.59151729361253, 'Error': 6.626318459356845, 'Time': 0.0023064613342285156, 'Max V': 37.59151729361253, 'Mean V': 22.159496363353966}, {'State': None, 'Action': None, 'Reward': 37.59151729361251, 'Error': 5.188658462189018, 'Time': 0.002629518508911133, 'Max V': 37.59151729361251, 'Mean V': 22.761888950568224}, {'State': None, 'Action': None, 'Reward': 37.591517293612455, 'Error': 3.9465202246360533, 'Time': 0.0029540061950683594, 'Max V': 37.591517293612455, 'Mean V': 23.23358517440353}, {'State': None, 'Action': None, 'Reward': 45.77502163141796, 'Error': 7.105427357601002e-15, 'Time': 0.0032660961151123047, 'Max V': 45.77502163141796, 'Mean V': 32.08584530300187}]"
9,144,11,43.54961868954512,0.02127242088317871,0.0037076473236083984,11,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(20.02862647685558, 20.955877702635934, 22.029085139881712, 23.271223377434694, 24.708883374602497, 26.372841704657827, 28.298719401481122, 30.527744513545123, 33.10763468954512, 36.09361868954512, 39.54961868954512, 43.54961868954512)","[{'State': None, 'Action': None, 'Reward': 37.59151729361271, 'Error': 21.467053774299423, 'Time': 0.0003197193145751953, 'Max V': 37.59151729361271, 'Mean V': 14.202011276613637}, {'State': None, 'Action': None, 'Reward': 37.59151729361269, 'Error': 18.011053774299423, 'Time': 0.0006525516510009766, 'Max V': 37.59151729361269, 'Mean V': 15.990932424471898}, {'State': None, 'Action': None, 'Reward': 37.59151729361262, 'Error': 15.025069774299407, 'Time': 0.0009746551513671875, 'Max V': 37.59151729361262, 'Mean V': 17.491853572330136}, {'State': None, 'Action': None, 'Reward': 37.5915172936126, 'Error': 12.445179598299479, 'Time': 0.0012938976287841797, 'Max V': 37.5915172936126, 'Mean V': 18.743942720188343}, {'State': None, 'Action': None, 'Reward': 37.59151729361257, 'Error': 10.216154486235439, 'Time': 0.0016129016876220703, 'Max V': 37.59151729361257, 'Mean V': 19.781041020046647}, {'State': None, 'Action': None, 'Reward': 37.59151729361255, 'Error': 8.290276789412179, 'Time': 0.0019326210021972656, 'Max V': 37.59151729361255, 'Mean V': 20.632387227232886}, {'State': None, 'Action': None, 'Reward': 37.59151729361253, 'Error': 6.626318459356845, 'Time': 0.0022568702697753906, 'Max V': 37.59151729361253, 'Mean V': 21.323243626350557}, {'State': None, 'Action': None, 'Reward': 37.59151729361251, 'Error': 5.188658462189018, 'Time': 0.002577543258666992, 'Max V': 37.59151729361251, 'Mean V': 21.875436831296966}, {'State': None, 'Action': None, 'Reward': 37.591517293612455, 'Error': 3.9465202246360533, 'Time': 0.002897024154663086, 'Max V': 37.591517293612455, 'Mean V': 22.307825036479326}, {'State': None, 'Action': None, 'Reward': 37.59151729361245, 'Error': 2.8733127873902973, 'Time': 0.003217458724975586, 'Max V': 37.59151729361245, 'Mean V': 22.636701721865634}, {'State': None, 'Action': None, 'Reward': 43.54961868954512, 'Error': 3.552713678800501e-15, 'Time': 0.0035371780395507812, 'Max V': 43.54961868954512, 'Mean V': 29.041124370772916}]"
