,gammas,conv_iters,max_value,times_api,times_real,policy_updates,policies,V,all_stats
0,0.05,1,4.188718998076368,0.0003247261047363281,0.0004940032958984375,1,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0)","(0.04532863258625033, 1.0022664316293126, 1.0022664316293126, 1.0022664316293126, 1.0022664316293126, 1.0022664316293126, 1.0022664316293126, 1.0022664316293126, 1.0022664316293126, 1.0022664316293126, 1.0022664316293126, 4.188718998076368)","[{'State': None, 'Action': None, 'Reward': 4.188718998076368, 'Error': 6.938893903907228e-18, 'Time': 0.0003247261047363281, 'Max V': 4.188718998076368, 'Mean V': 1.1880593289129786}]"
1,0.1,1,4.396612561750176,0.00031495094299316406,0.0004792213439941406,1,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0)","(0.09174311926605505, 1.0091743119266054, 1.0091743119266054, 1.0091743119266054, 1.0091743119266054, 1.0091743119266054, 1.0091743119266054, 1.0091743119266054, 1.0091743119266054, 1.0091743119266054, 1.0091743119266054, 4.396612561750176)","[{'State': None, 'Action': None, 'Reward': 4.396612561750176, 'Error': 0.0, 'Time': 0.00031495094299316406, 'Max V': 4.396612561750176, 'Mean V': 1.2150082333568573}]"
2,0.15000000000000002,1,4.626704033960099,0.0003123283386230469,0.00047707557678222656,1,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0)","(0.13993262503239184, 1.0209898937548587, 1.0209898937548587, 1.0209898937548587, 1.0209898937548587, 1.0209898937548587, 1.0209898937548587, 1.0209898937548587, 1.0209898937548587, 1.0209898937548587, 1.0209898937548587, 4.626704033960099)","[{'State': None, 'Action': None, 'Reward': 4.626704033960099, 'Error': 2.7755575615628914e-17, 'Time': 0.0003123283386230469, 'Max V': 4.626704033960099, 'Mean V': 1.2480446330450898}]"
3,0.2,1,4.882699462587847,0.00031757354736328125,0.0004818439483642578,1,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0)","(0.1906779661016949, 1.0381355932203389, 1.0381355932203389, 1.0381355932203389, 1.0381355932203389, 1.0381355932203389, 1.0381355932203389, 1.0381355932203389, 1.0381355932203389, 1.0381355932203389, 1.0381355932203389, 4.882699462587847)","[{'State': None, 'Action': None, 'Reward': 4.882699462587847, 'Error': 8.881784197001252e-16, 'Time': 0.00031757354736328125, 'Max V': 4.882699462587847, 'Mean V': 1.2878944467410776}]"
4,0.25,2,5.16919025674786,0.0009515285491943359,0.0008039474487304688,2,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0)","(0.24489795918367352, 1.0612244897959184, 1.0612244897959184, 1.0612244897959184, 1.0612244897959184, 1.0612244897959184, 1.0612244897959184, 1.0612244897959184, 1.0612244897959184, 1.0612244897959184, 1.1691902567478603, 5.16919025674786)","[{'State': None, 'Action': None, 'Reward': 5.16919025674786, 'Error': 0.10796576695194204, 'Time': 0.0003120899200439453, 'Max V': 5.16919025674786, 'Mean V': 1.3355277594908932}, {'State': None, 'Action': None, 'Reward': 5.16919025674786, 'Error': 8.881784197001252e-16, 'Time': 0.0006394386291503906, 'Max V': 5.16919025674786, 'Mean V': 1.3445249067368883}]"
5,0.3,2,5.491933371342282,0.0009527206420898438,0.0008029937744140625,2,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0)","(0.3037120359955006, 1.09111361079865, 1.09111361079865, 1.09111361079865, 1.09111361079865, 1.09111361079865, 1.09111361079865, 1.09111361079865, 1.09111361079865, 1.09111361079865, 1.491933371342281, 5.491933371342282)","[{'State': None, 'Action': None, 'Reward': 5.491933371342282, 'Error': 0.400819760543631, 'Time': 0.0003135204315185547, 'Max V': 5.491933371342282, 'Mean V': 1.3922317929436903}, {'State': None, 'Action': None, 'Reward': 5.491933371342282, 'Error': 8.881784197001252e-16, 'Time': 0.0006392002105712891, 'Max V': 5.491933371342282, 'Mean V': 1.4256334396556596}]"
6,0.35000000000000003,2,5.858245997570469,0.0009770393371582031,0.0008170604705810547,2,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0)","(0.36852880959344847, 1.1289850833577069, 1.128985083357707, 1.128985083357707, 1.128985083357707, 1.128985083357707, 1.128985083357707, 1.128985083357707, 1.128985083357707, 1.128985083357707, 1.8582459975704688, 5.858245997570469)","[{'State': None, 'Action': None, 'Reward': 5.858245997570469, 'Error': 0.7292609142127617, 'Time': 0.0003247261047363281, 'Max V': 5.858245997570469, 'Mean V': 1.4597188033950823}, {'State': None, 'Action': None, 'Reward': 5.858245997570469, 'Error': 2.220446049250313e-16, 'Time': 0.000652313232421875, 'Max V': 5.858245997570469, 'Mean V': 1.5204905462461458}]"
7,0.4,2,6.277573529411765,0.0009484291076660156,0.0008020401000976562,2,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0)","(0.44117647058823534, 1.1764705882352942, 1.1764705882352942, 1.1764705882352942, 1.1764705882352942, 1.1764705882352942, 1.1764705882352942, 1.1764705882352942, 1.1764705882352942, 1.1764705882352942, 2.2775735294117654, 6.277573529411765)","[{'State': None, 'Action': None, 'Reward': 6.277573529411765, 'Error': 1.1011029411764708, 'Time': 0.0003104209899902344, 'Max V': 6.277573529411765, 'Mean V': 1.5402879901960782}, {'State': None, 'Action': None, 'Reward': 6.277573529411765, 'Error': 8.881784197001252e-16, 'Time': 0.0006380081176757812, 'Max V': 6.277573529411765, 'Mean V': 1.6320465686274508}]"
8,0.45,2,6.762327059584753,0.0009562969207763672,0.0008056163787841797,2,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0)","(0.5241022322872857, 1.2358460045292785, 1.2358460045292785, 1.2358460045292785, 1.2358460045292785, 1.2358460045292785, 1.2358460045292785, 1.2358460045292785, 1.2358460045292785, 1.2358460045292785, 2.762327059584753, 6.762327059584753)","[{'State': None, 'Action': None, 'Reward': 6.762327059584753, 'Error': 1.5264810550554746, 'Time': 0.0003147125244140625, 'Max V': 6.762327059584753, 'Mean V': 1.637074111430402}, {'State': None, 'Action': None, 'Reward': 6.762327059584753, 'Error': 0.0, 'Time': 0.0006415843963623047, 'Max V': 6.762327059584753, 'Mean V': 1.764280866018358}]"
9,0.5,3,7.329153605015673,0.0019199848175048828,0.0011296272277832031,3,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0)","(0.6206896551724138, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.5291536050156738, 3.3291536050156734, 7.329153605015673)","[{'State': None, 'Action': None, 'Reward': 7.329153605015673, 'Error': 2.0188087774294665, 'Time': 0.0003139972686767578, 'Max V': 7.329153605015673, 'Mean V': 1.7544409613375127}, {'State': None, 'Action': None, 'Reward': 7.329153605015673, 'Error': 0.21880877742946692, 'Time': 0.000640869140625, 'Max V': 7.329153605015673, 'Mean V': 1.9226750261233017}, {'State': None, 'Action': None, 'Reward': 7.329153605015673, 'Error': 1.1102230246251565e-16, 'Time': 0.000965118408203125, 'Max V': 7.329153605015673, 'Mean V': 1.9409090909090907}]"
