,eps,conv_iters,threshold,max_value,times_api,times_real,policy_updates,policies
0,0.0,0,0,30.18970442160642,1.9311377981281281,3.8704025745391846,100000,"(0, 0, 0, 0)"
1,0.05,0,0,56.172826978355744,1.9760759409236908,3.98797869682312,100000,"(0, 0, 0, 0)"
2,0.1,0,0,55.40999711627932,1.9776365730547905,3.995643138885498,100000,"(0, 0, 0, 0)"
3,0.15000000000000002,0,0,43.14283448278012,1.97020860162735,3.9849987030029297,100000,"(0, 0, 0, 0)"
4,0.2,0,0,28.536494720763024,1.9382495797252655,3.9178884029388428,100000,"(0, 1, 0, 0)"
5,0.25,0,0,55.359902927615174,2.004201336455345,4.030766487121582,100000,"(0, 0, 0, 0)"
6,0.30000000000000004,0,0,55.580642230021034,1.9925328390932082,4.0302324295043945,100000,"(0, 0, 0, 0)"
7,0.35000000000000003,0,0,28.719775653716777,1.972466811387539,3.9705803394317627,100000,"(0, 1, 0, 0)"
8,0.4,0,0,55.49532046620445,2.0014629578256606,4.021543502807617,100000,"(0, 0, 0, 0)"
9,0.45,0,0,10.454632605861423,1.940687061035633,3.913282871246338,100000,"(0, 1, 1, 0)"
10,0.5,0,0,11.320356398940605,1.9352088747406007,3.914869785308838,100000,"(0, 1, 1, 0)"
11,0.55,0,0,10.38359997576851,1.9444116858315468,3.9278767108917236,100000,"(0, 1, 1, 0)"
12,0.6000000000000001,0,0,10.502425666814839,1.9299196343183518,3.8987066745758057,100000,"(0, 1, 1, 1)"
13,0.65,0,0,10.399701568007362,1.951161525835991,3.936424732208252,100000,"(0, 1, 1, 0)"
14,0.7000000000000001,0,0,11.19136294666726,1.9646186066246032,3.982327699661255,100000,"(0, 1, 1, 0)"
15,0.75,0,0,10.738699907331036,1.9320340259861946,3.8946194648742676,100000,"(0, 1, 1, 0)"
16,0.8,0,0,28.7776571522866,1.9617139706468583,3.951608657836914,100000,"(0, 1, 0, 0)"
17,0.8500000000000001,0,0,10.47781157513316,1.946628994998932,3.930692195892334,100000,"(0, 1, 1, 1)"
18,0.9,0,0,10.441876064710305,1.9378206235146522,3.9109272956848145,100000,"(0, 1, 1, 1)"
