,gamma,conv_iters,threshold,max_value,times_api,times_real,policy_updates,policies
0,0.0,0,0,2.4515544472588986,2.035507571320534,4.087822437286377,100000,"(0, 1, 1, 1, 1, 1, 1, 0)"
1,0.05,0,0,1.0022590065783,2.0431279596066476,4.111896753311157,100000,"(0, 1, 1, 1, 1, 1, 1, 1)"
2,0.1,0,0,3.3888984215787485,2.047819097750187,4.133243083953857,100000,"(0, 1, 1, 1, 1, 1, 0, 0)"
3,0.15000000000000002,0,0,1.0208462910300635,2.0526252873897555,4.144622564315796,100000,"(0, 1, 1, 1, 1, 1, 1, 1)"
4,0.2,0,0,2.443350459239852,2.082894073791504,4.167677402496338,100000,"(0, 1, 1, 1, 0, 1, 1, 0)"
5,0.25,0,0,4.087217878821025,2.035443579118252,4.109216213226318,100000,"(0, 1, 1, 1, 1, 1, 0, 0)"
6,0.30000000000000004,0,0,4.2083947678957685,2.0388393374371527,4.123644113540649,100000,"(0, 1, 1, 1, 1, 1, 0, 0)"
7,0.35000000000000003,0,0,1.129377091447605,2.0494298533678057,4.13477087020874,100000,"(0, 1, 1, 1, 1, 1, 0, 1)"
8,0.4,0,0,2.6171140317120707,2.034775039279461,4.107049465179443,100000,"(0, 1, 1, 1, 1, 1, 1, 0)"
9,0.45,0,0,4.236544662677551,2.056177027466297,4.1429972648620605,100000,"(0, 1, 1, 0, 1, 1, 0, 0)"
10,0.5,0,0,4.866858725988402,2.054174572906494,4.145787954330444,100000,"(0, 1, 1, 1, 1, 1, 0, 0)"
11,0.55,0,0,4.619879540251537,2.047485287544727,4.128941059112549,100000,"(0, 1, 1, 0, 1, 1, 0, 0)"
12,0.6000000000000001,0,0,2.811457053870952,2.034429572796822,4.106305837631226,100000,"(0, 1, 1, 1, 1, 1, 1, 0)"
13,0.65,0,0,3.5423461375871135,2.048494546432495,4.132692337036133,100000,"(0, 1, 1, 1, 1, 1, 1, 0)"
14,0.7000000000000001,0,0,5.188766648790906,2.0492269940590857,4.138770818710327,100000,"(0, 1, 1, 1, 1, 1, 0, 0)"
15,0.75,0,0,4.899224568041813,2.049370430700779,4.13550591468811,100000,"(0, 1, 1, 0, 1, 1, 0, 0)"
16,0.8,0,0,3.6646126519472517,2.030707694005966,4.103321075439453,100000,"(0, 1, 1, 1, 1, 1, 1, 0)"
17,0.8500000000000001,0,0,4.057823031090075,2.0533041347765923,4.147347688674927,100000,"(0, 1, 1, 0, 1, 0, 1, 0)"
18,0.9,0,0,4.9958422598249514,2.0454968265914917,4.132092714309692,100000,"(0, 1, 1, 1, 0, 1, 1, 0)"
