,gammas,conv_iters,max_value,times_api,times_real,policy_updates,policies,V,all_stats
0,0.05,1,4.188718998076368,0.00040531158447265625,0.0006117820739746094,1,"(0, 1, 1, 1, 1, 1, 1, 0)","(0.04532863258625033, 1.0022664316293126, 1.0022664316293126, 1.0022664316293126, 1.0022664316293126, 1.0022664316293126, 1.0022664316293126, 4.188718998076368)","[{'State': None, 'Action': None, 'Reward': 4.188718998076368, 'Error': 6.938893903907228e-18, 'Time': 0.00040531158447265625, 'Max V': 4.188718998076368, 'Mean V': 1.2809557775548117}]"
1,0.1,1,4.396612561750176,0.0003314018249511719,0.0005009174346923828,1,"(0, 1, 1, 1, 1, 1, 1, 0)","(0.09174311926605505, 1.0091743119266054, 1.0091743119266054, 1.0091743119266054, 1.0091743119266054, 1.0091743119266054, 1.0091743119266054, 4.396612561750176)","[{'State': None, 'Action': None, 'Reward': 4.396612561750176, 'Error': 0.0, 'Time': 0.0003314018249511719, 'Max V': 4.396612561750176, 'Mean V': 1.317925194071983}]"
2,0.15000000000000002,1,4.626704033960099,0.0003085136413574219,0.00047016143798828125,1,"(0, 1, 1, 1, 1, 1, 1, 0)","(0.13993262503239184, 1.0209898937548587, 1.0209898937548587, 1.0209898937548587, 1.0209898937548587, 1.0209898937548587, 1.0209898937548587, 4.626704033960099)","[{'State': None, 'Action': None, 'Reward': 4.626704033960099, 'Error': 2.7755575615628914e-17, 'Time': 0.0003085136413574219, 'Max V': 4.626704033960099, 'Mean V': 1.3615720026902054}]"
3,0.2,1,4.882699462587847,0.00030684471130371094,0.00046896934509277344,1,"(0, 1, 1, 1, 1, 1, 1, 0)","(0.1906779661016949, 1.0381355932203389, 1.0381355932203389, 1.0381355932203389, 1.0381355932203389, 1.0381355932203389, 1.0381355932203389, 4.882699462587847)","[{'State': None, 'Action': None, 'Reward': 4.882699462587847, 'Error': 8.881784197001252e-16, 'Time': 0.00030684471130371094, 'Max V': 4.882699462587847, 'Mean V': 1.4127738735014468}]"
4,0.25,2,5.16919025674786,0.0009260177612304688,0.0007910728454589844,2,"(0, 1, 1, 1, 1, 1, 0, 0)","(0.24489795918367352, 1.0612244897959184, 1.0612244897959184, 1.0612244897959184, 1.0612244897959184, 1.0612244897959184, 1.1691902567478603, 5.16919025674786)","[{'State': None, 'Action': None, 'Reward': 5.16919025674786, 'Error': 0.10796576695194204, 'Time': 0.00029540061950683594, 'Max V': 5.16919025674786, 'Mean V': 1.4726793943383805}, {'State': None, 'Action': None, 'Reward': 5.16919025674786, 'Error': 8.881784197001252e-16, 'Time': 0.0006306171417236328, 'Max V': 5.16919025674786, 'Mean V': 1.4861751152073732}]"
5,0.3,2,5.491933371342282,0.0009150505065917969,0.0007755756378173828,2,"(0, 1, 1, 1, 1, 1, 0, 0)","(0.3037120359955006, 1.09111361079865, 1.09111361079865, 1.09111361079865, 1.09111361079865, 1.09111361079865, 1.491933371342281, 5.491933371342282)","[{'State': None, 'Action': None, 'Reward': 5.491933371342282, 'Error': 0.400819760543631, 'Time': 0.0003006458282470703, 'Max V': 5.491933371342282, 'Mean V': 1.5427908840162103}, {'State': None, 'Action': None, 'Reward': 5.491933371342282, 'Error': 8.881784197001252e-16, 'Time': 0.0006144046783447266, 'Max V': 5.491933371342282, 'Mean V': 1.5928933540841643}]"
6,0.35000000000000003,2,5.858245997570469,0.0009281635284423828,0.0007860660552978516,2,"(0, 1, 1, 1, 1, 1, 0, 0)","(0.36852880959344847, 1.1289850833577069, 1.128985083357707, 1.128985083357707, 1.128985083357707, 1.128985083357707, 1.8582459975704688, 5.858245997570469)","[{'State': None, 'Action': None, 'Reward': 5.858245997570469, 'Error': 0.7292609142127617, 'Time': 0.0003044605255126953, 'Max V': 5.858245997570469, 'Mean V': 1.6250856634137698}, {'State': None, 'Action': None, 'Reward': 5.858245997570469, 'Error': 2.220446049250313e-16, 'Time': 0.0006237030029296875, 'Max V': 5.858245997570469, 'Mean V': 1.716243277690365}]"
7,0.4,2,6.277573529411765,0.0009222030639648438,0.0007817745208740234,2,"(0, 1, 1, 1, 1, 1, 0, 0)","(0.44117647058823534, 1.1764705882352942, 1.1764705882352942, 1.1764705882352942, 1.1764705882352942, 1.1764705882352942, 2.2775735294117654, 6.277573529411765)","[{'State': None, 'Action': None, 'Reward': 6.277573529411765, 'Error': 1.1011029411764708, 'Time': 0.0003025531768798828, 'Max V': 6.277573529411765, 'Mean V': 1.7221966911764708}, {'State': None, 'Action': None, 'Reward': 6.277573529411765, 'Error': 8.881784197001252e-16, 'Time': 0.0006196498870849609, 'Max V': 6.277573529411765, 'Mean V': 1.8598345588235297}]"
8,0.45,2,6.762327059584753,0.0009388923645019531,0.0007898807525634766,2,"(0, 1, 1, 1, 1, 1, 0, 0)","(0.5241022322872857, 1.2358460045292785, 1.2358460045292785, 1.2358460045292785, 1.2358460045292785, 1.2358460045292785, 2.762327059584753, 6.762327059584753)","[{'State': None, 'Action': None, 'Reward': 6.762327059584753, 'Error': 1.5264810550554746, 'Time': 0.00030994415283203125, 'Max V': 6.762327059584753, 'Mean V': 1.8376881648809638}, {'State': None, 'Action': None, 'Reward': 6.762327059584753, 'Error': 0.0, 'Time': 0.0006289482116699219, 'Max V': 6.762327059584753, 'Mean V': 2.028498296762898}]"
9,0.5,3,7.329153605015673,0.0018568038940429688,0.0010938644409179688,3,"(0, 1, 1, 1, 1, 0, 0, 0)","(0.6206896551724138, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.5291536050156738, 3.3291536050156734, 7.329153605015673)","[{'State': None, 'Action': None, 'Reward': 7.329153605015673, 'Error': 2.0188087774294665, 'Time': 0.0003101825714111328, 'Max V': 7.329153605015673, 'Mean V': 1.9764890282131657}, {'State': None, 'Action': None, 'Reward': 7.329153605015673, 'Error': 0.21880877742946692, 'Time': 0.0006186962127685547, 'Max V': 7.329153605015673, 'Mean V': 2.228840125391849}, {'State': None, 'Action': None, 'Reward': 7.329153605015673, 'Error': 1.1102230246251565e-16, 'Time': 0.0009279251098632812, 'Max V': 7.329153605015673, 'Mean V': 2.2561912225705325}]"
