,learning_rate,conv_iters,threshold,max_value,times_api,times_real,policy_updates,policies
0,0.0,0,0,10.214100777951371,1.8994572946310044,3.801332950592041,100000,"(0, 1, 1, 1, 1, 1, 1, 0)"
1,0.05,0,0,36.345953206614865,1.9071482250022889,3.8414077758789062,100000,"(0, 1, 1, 1, 0, 1, 0, 0)"
2,0.1,0,0,34.374297381133275,1.8993160037398338,3.848360300064087,100000,"(0, 1, 1, 1, 1, 1, 0, 0)"
3,0.15000000000000002,0,0,13.21668434040956,1.888644495484829,3.7992897033691406,100000,"(0, 1, 1, 1, 1, 1, 0, 1)"
4,0.2,0,0,13.255448972322277,1.8810893664264678,3.8044850826263428,100000,"(0, 1, 1, 1, 1, 0, 1, 1)"
5,0.25,0,0,47.67423563737489,1.88019594217062,3.820114850997925,100000,"(0, 1, 0, 0, 0, 0, 0, 0)"
6,0.30000000000000004,0,0,50.44675657099104,1.8872983494591713,3.8532423973083496,100000,"(0, 0, 0, 0, 0, 0, 0, 0)"
7,0.35000000000000003,0,0,48.53770144740773,1.9210214991736412,3.9074511528015137,100000,"(0, 0, 0, 0, 0, 0, 0, 0)"
8,0.4,0,0,41.421111778102144,1.9030131409311295,3.878068685531616,100000,"(0, 0, 0, 0, 0, 0, 0, 0)"
9,0.45,0,0,77.65014354274786,1.9425505367326736,3.948307752609253,100000,"(0, 0, 0, 0, 0, 0, 0, 0)"
10,0.5,0,0,46.128943881838026,1.911969074690342,3.892174243927002,100000,"(0, 0, 0, 0, 0, 0, 0, 0)"
11,0.55,0,0,26.36079794069727,1.9315148667407036,3.935199022293091,100000,"(0, 0, 0, 0, 0, 0, 0, 0)"
12,0.6000000000000001,0,0,44.99117835039214,1.9311153981804847,3.921246290206909,100000,"(0, 0, 0, 1, 0, 0, 0, 0)"
13,0.65,0,0,43.902908884220565,1.9022135267782212,3.87939453125,100000,"(1, 1, 0, 0, 0, 0, 0, 0)"
14,0.7000000000000001,0,0,22.577215771440336,1.8721764953899382,3.80010986328125,100000,"(0, 1, 0, 0, 0, 1, 0, 0)"
15,0.75,0,0,60.17027863925333,1.9083857738256453,3.9246511459350586,100000,"(0, 1, 1, 0, 0, 0, 0, 0)"
16,0.8,0,0,20.81610648721253,2.1397423306035996,4.354368686676025,100000,"(0, 1, 1, 1, 1, 1, 0, 0)"
17,0.8500000000000001,0,0,33.92215147972085,2.1100181968641283,4.343763113021851,100000,"(0, 1, 1, 1, 1, 1, 1, 0)"
18,0.9,0,0,21.500845368759162,2.1484122914242745,4.233607292175293,100000,"(0, 1, 1, 1, 1, 1, 1, 0)"
