,gammas,conv_iters,max_value,times_api,times_real,policy_updates,policies,V,all_stats
0,0.05,1,4.188718998076368,0.0003237724304199219,0.0004942417144775391,1,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0)","(0.04532863258625033, 1.0022664316293126, 1.0022664316293126, 1.0022664316293126, 1.0022664316293126, 1.0022664316293126, 1.0022664316293126, 1.0022664316293126, 1.0022664316293126, 1.0022664316293126, 1.0022664316293126, 1.0022664316293126, 1.0022664316293126, 1.0022664316293126, 1.0022664316293126, 4.188718998076368)","[{'State': None, 'Action': None, 'Reward': 4.188718998076368, 'Error': 6.938893903907228e-18, 'Time': 0.0003237724304199219, 'Max V': 4.188718998076368, 'Mean V': 1.141611104592062}]"
1,0.1,1,4.396612561750176,0.00032329559326171875,0.0004878044128417969,1,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0)","(0.09174311926605505, 1.0091743119266054, 1.0091743119266054, 1.0091743119266054, 1.0091743119266054, 1.0091743119266054, 1.0091743119266054, 1.0091743119266054, 1.0091743119266054, 1.0091743119266054, 1.0091743119266054, 1.0091743119266054, 1.0091743119266054, 1.0091743119266054, 1.0091743119266054, 4.396612561750176)","[{'State': None, 'Action': None, 'Reward': 4.396612561750176, 'Error': 0.0, 'Time': 0.00032329559326171875, 'Max V': 4.396612561750176, 'Mean V': 1.1635497529992942}]"
2,0.15000000000000002,1,4.626704033960099,0.0003170967102050781,0.0004820823669433594,1,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0)","(0.13993262503239184, 1.0209898937548587, 1.0209898937548587, 1.0209898937548587, 1.0209898937548587, 1.0209898937548587, 1.0209898937548587, 1.0209898937548587, 1.0209898937548587, 1.0209898937548587, 1.0209898937548587, 1.0209898937548587, 1.0209898937548587, 1.0209898937548587, 1.0209898937548587, 4.626704033960099)","[{'State': None, 'Action': None, 'Reward': 4.626704033960099, 'Error': 2.7755575615628914e-17, 'Time': 0.0003170967102050781, 'Max V': 4.626704033960099, 'Mean V': 1.191280948222532}]"
3,0.2,1,4.882699462587847,0.00032448768615722656,0.0004925727844238281,1,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0)","(0.1906779661016949, 1.0381355932203389, 1.0381355932203389, 1.0381355932203389, 1.0381355932203389, 1.0381355932203389, 1.0381355932203389, 1.0381355932203389, 1.0381355932203389, 1.0381355932203389, 1.0381355932203389, 1.0381355932203389, 1.0381355932203389, 1.0381355932203389, 1.0381355932203389, 4.882699462587847)","[{'State': None, 'Action': None, 'Reward': 4.882699462587847, 'Error': 8.881784197001252e-16, 'Time': 0.00032448768615722656, 'Max V': 4.882699462587847, 'Mean V': 1.225454733360893}]"
4,0.25,2,5.16919025674786,0.0011510848999023438,0.0009372234344482422,2,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0)","(0.24489795918367352, 1.0612244897959184, 1.0612244897959184, 1.0612244897959184, 1.0612244897959184, 1.0612244897959184, 1.0612244897959184, 1.0612244897959184, 1.0612244897959184, 1.0612244897959184, 1.0612244897959184, 1.0612244897959184, 1.0612244897959184, 1.0612244897959184, 1.1691902567478603, 5.16919025674786)","[{'State': None, 'Action': None, 'Reward': 5.16919025674786, 'Error': 0.10796576695194204, 'Time': 0.00039649009704589844, 'Max V': 5.16919025674786, 'Mean V': 1.2669519420671493}, {'State': None, 'Action': None, 'Reward': 5.16919025674786, 'Error': 8.881784197001252e-16, 'Time': 0.0007545948028564453, 'Max V': 5.16919025674786, 'Mean V': 1.2736998025016457}]"
5,0.3,2,5.491933371342282,0.0013511180877685547,0.0010755062103271484,2,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0)","(0.3037120359955006, 1.09111361079865, 1.09111361079865, 1.09111361079865, 1.09111361079865, 1.09111361079865, 1.09111361079865, 1.09111361079865, 1.09111361079865, 1.09111361079865, 1.09111361079865, 1.09111361079865, 1.09111361079865, 1.09111361079865, 1.491933371342281, 5.491933371342282)","[{'State': None, 'Action': None, 'Reward': 5.491933371342282, 'Error': 0.400819760543631, 'Time': 0.0005054473876953125, 'Max V': 5.491933371342282, 'Mean V': 1.3169522474074302}, {'State': None, 'Action': None, 'Reward': 5.491933371342282, 'Error': 8.881784197001252e-16, 'Time': 0.0008456707000732422, 'Max V': 5.491933371342282, 'Mean V': 1.342003482441407}]"
6,0.35000000000000003,2,5.858245997570469,0.0009665489196777344,0.0008215904235839844,2,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0)","(0.36852880959344847, 1.1289850833577069, 1.128985083357707, 1.128985083357707, 1.128985083357707, 1.128985083357707, 1.128985083357707, 1.128985083357707, 1.128985083357707, 1.128985083357707, 1.128985083357707, 1.128985083357707, 1.128985083357707, 1.128985083357707, 1.8582459975704688, 5.858245997570469)","[{'State': None, 'Action': None, 'Reward': 5.858245997570469, 'Error': 0.7292609142127617, 'Time': 0.0003139972686767578, 'Max V': 5.858245997570469, 'Mean V': 1.3770353733857386}, {'State': None, 'Action': None, 'Reward': 5.858245997570469, 'Error': 2.220446049250313e-16, 'Time': 0.0006525516510009766, 'Max V': 5.858245997570469, 'Mean V': 1.422614180524036}]"
7,0.4,2,6.277573529411765,0.000949859619140625,0.0008025169372558594,2,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0)","(0.44117647058823534, 1.1764705882352942, 1.1764705882352942, 1.1764705882352942, 1.1764705882352942, 1.1764705882352942, 1.1764705882352942, 1.1764705882352942, 1.1764705882352942, 1.1764705882352942, 1.1764705882352942, 1.1764705882352942, 1.1764705882352942, 1.1764705882352942, 2.2775735294117654, 6.277573529411765)","[{'State': None, 'Action': None, 'Reward': 6.277573529411765, 'Error': 1.1011029411764708, 'Time': 0.0003113746643066406, 'Max V': 6.277573529411765, 'Mean V': 1.4493336397058825}, {'State': None, 'Action': None, 'Reward': 6.277573529411765, 'Error': 8.881784197001252e-16, 'Time': 0.0006384849548339844, 'Max V': 6.277573529411765, 'Mean V': 1.518152573529412}]"
8,0.45,2,6.762327059584753,0.0009653568267822266,0.000827789306640625,2,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0)","(0.5241022322872857, 1.2358460045292785, 1.2358460045292785, 1.2358460045292785, 1.2358460045292785, 1.2358460045292785, 1.2358460045292785, 1.2358460045292785, 1.2358460045292785, 1.2358460045292785, 1.2358460045292785, 1.2358460045292785, 1.2358460045292785, 1.2358460045292785, 2.762327059584753, 6.762327059584753)","[{'State': None, 'Action': None, 'Reward': 6.762327059584753, 'Error': 1.5264810550554746, 'Time': 0.0003190040588378906, 'Max V': 6.762327059584753, 'Mean V': 1.5367670847051211}, {'State': None, 'Action': None, 'Reward': 6.762327059584753, 'Error': 0.0, 'Time': 0.0006463527679443359, 'Max V': 6.762327059584753, 'Mean V': 1.6321721506460882}]"
9,0.5,3,7.329153605015673,0.0019125938415527344,0.001134634017944336,3,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0)","(0.6206896551724138, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.3103448275862069, 1.5291536050156738, 3.3291536050156734, 7.329153605015673)","[{'State': None, 'Action': None, 'Reward': 7.329153605015673, 'Error': 2.0188087774294665, 'Time': 0.0003123283386230469, 'Max V': 7.329153605015673, 'Mean V': 1.6434169278996864}, {'State': None, 'Action': None, 'Reward': 7.329153605015673, 'Error': 0.21880877742946692, 'Time': 0.0006380081176757812, 'Max V': 7.329153605015673, 'Mean V': 1.7695924764890278}, {'State': None, 'Action': None, 'Reward': 7.329153605015673, 'Error': 1.1102230246251565e-16, 'Time': 0.0009622573852539062, 'Max V': 7.329153605015673, 'Mean V': 1.7832680250783697}]"
10,0.55,3,8.000927183019307,0.0018813610076904297,0.0011053085327148438,3,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0)","(0.7357859531772577, 1.4046822742474918, 1.4046822742474918, 1.4046822742474918, 1.4046822742474918, 1.4046822742474918, 1.4046822742474918, 1.4046822742474918, 1.4046822742474918, 1.4046822742474918, 1.4046822742474918, 1.4046822742474918, 1.4046822742474918, 2.020927183019306, 4.000927183019306, 8.000927183019307)","[{'State': None, 'Action': None, 'Reward': 8.000927183019307, 'Error': 2.5962449087718156, 'Time': 0.00030875205993652344, 'Max V': 8.000927183019307, 'Mean V': 1.7751415609788406}, {'State': None, 'Action': None, 'Reward': 8.000927183019307, 'Error': 0.616244908771814, 'Time': 0.0006279945373535156, 'Max V': 8.000927183019307, 'Mean V': 1.937406867777079}, {'State': None, 'Action': None, 'Reward': 8.000927183019307, 'Error': 8.881784197001252e-16, 'Time': 0.0009446144104003906, 'Max V': 8.000927183019307, 'Mean V': 1.9759221745753175}]"
