,states,conv_iters,threshold,max_value,times_api,times_real,policy_updates,policies,V,all_stats
0,9,4,0.000416666666666667,13.38815488,0.0005109310150146484,0.0004565715789794922,4,"(0, 0, 0)","(5.93215488, 9.38815488, 13.38815488)","[{'State': None, 'Action': None, 'Reward': 4.0, 'Error': 4.0, 'Time': 3.6716461181640625e-05, 'Epsilon': 0.01, 'Max V': 4.0, 'Mean V': 1.6666666666666667}, {'State': None, 'Action': None, 'Reward': 7.4559999999999995, 'Error': 2.5919999999999996, 'Time': 0.00010776519775390625, 'Epsilon': 0.01, 'Max V': 7.4559999999999995, 'Mean V': 3.925333333333333}, {'State': None, 'Action': None, 'Reward': 10.524928, 'Error': 0.8640000000000003, 'Time': 0.00015997886657714844, 'Epsilon': 0.01, 'Max V': 10.524928, 'Mean V': 6.706261333333333}, {'State': None, 'Action': None, 'Reward': 13.38815488, 'Error': 8.881784197001252e-16, 'Time': 0.00020647048950195312, 'Epsilon': 0.01, 'Max V': 13.38815488, 'Mean V': 9.569488213333335}]"
1,16,5,0.000416666666666667,15.654636175359999,0.0006732940673828125,0.0004191398620605469,5,"(0, 0, 0, 0)","(5.212652175359999, 8.198636175359999, 11.654636175359999, 15.654636175359999)","[{'State': None, 'Action': None, 'Reward': 4.0, 'Error': 4.0, 'Time': 3.1948089599609375e-05, 'Epsilon': 0.01, 'Max V': 4.0, 'Mean V': 1.5}, {'State': None, 'Action': None, 'Reward': 7.4559999999999995, 'Error': 3.4559999999999995, 'Time': 8.797645568847656e-05, 'Epsilon': 0.01, 'Max V': 7.4559999999999995, 'Mean V': 3.194}, {'State': None, 'Action': None, 'Reward': 10.524928, 'Error': 2.985984, 'Time': 0.0001380443572998047, 'Epsilon': 0.01, 'Max V': 10.524928, 'Mean V': 5.266432}, {'State': None, 'Action': None, 'Reward': 13.184444416, 'Error': 0.8640000000000014, 'Time': 0.00018477439880371094, 'Epsilon': 0.01, 'Max V': 13.184444416, 'Mean V': 7.709948416}, {'State': None, 'Action': None, 'Reward': 15.654636175359999, 'Error': 8.881784197001252e-16, 'Time': 0.00023055076599121094, 'Epsilon': 0.01, 'Max V': 15.654636175359999, 'Mean V': 10.180140175359998}]"
2,25,6,0.000416666666666667,17.67965503848448,0.0009593963623046875,0.00045371055603027344,6,"(0, 0, 0, 0, 0)","(4.657780862484479, 7.237671038484479, 10.22365503848448, 13.67965503848448, 17.67965503848448)","[{'State': None, 'Action': None, 'Reward': 4.0, 'Error': 4.0, 'Time': 3.24249267578125e-05, 'Epsilon': 0.01, 'Max V': 4.0, 'Mean V': 1.4}, {'State': None, 'Action': None, 'Reward': 7.4559999999999995, 'Error': 3.4559999999999995, 'Time': 8.916854858398438e-05, 'Epsilon': 0.01, 'Max V': 7.4559999999999995, 'Mean V': 2.7552}, {'State': None, 'Action': None, 'Reward': 10.524928, 'Error': 2.985984, 'Time': 0.0001399517059326172, 'Epsilon': 0.01, 'Max V': 10.524928, 'Mean V': 4.5790336}, {'State': None, 'Action': None, 'Reward': 13.184444416, 'Error': 1.9349176320000008, 'Time': 0.00018715858459472656, 'Epsilon': 0.01, 'Max V': 13.184444416, 'Mean V': 6.502267289599999}, {'State': None, 'Action': None, 'Reward': 15.551828082687999, 'Error': 1.5089725440000004, 'Time': 0.00023293495178222656, 'Epsilon': 0.01, 'Max V': 15.551828082687999, 'Mean V': 8.567856447488}, {'State': None, 'Action': None, 'Reward': 17.67965503848448, 'Error': 1.3322676295501878e-15, 'Time': 0.0002777576446533203, 'Epsilon': 0.01, 'Max V': 17.67965503848448, 'Mean V': 10.69568340328448}]"
3,36,8,0.000416666666666667,21.20620547378992,0.0016741752624511719,0.0005512237548828125,8,"(0, 0, 0, 0, 0, 0)","(5.95530618572592, 8.18433129778992, 10.764221473789918, 13.750205473789919, 17.20620547378992, 21.20620547378992)","[{'State': None, 'Action': None, 'Reward': 4.0, 'Error': 4.0, 'Time': 3.218650817871094e-05, 'Epsilon': 0.01, 'Max V': 4.0, 'Mean V': 1.3333333333333333}, {'State': None, 'Action': None, 'Reward': 7.4559999999999995, 'Error': 3.4559999999999995, 'Time': 8.96453857421875e-05, 'Epsilon': 0.01, 'Max V': 7.4559999999999995, 'Mean V': 2.462666666666667}, {'State': None, 'Action': None, 'Reward': 10.524928, 'Error': 2.985984, 'Time': 0.0001404285430908203, 'Epsilon': 0.01, 'Max V': 10.524928, 'Mean V': 4.120768}, {'State': None, 'Action': None, 'Reward': 13.184444416, 'Error': 2.5798901760000006, 'Time': 0.00018930435180664062, 'Epsilon': 0.01, 'Max V': 13.184444416, 'Mean V': 5.736733781333332}, {'State': None, 'Action': None, 'Reward': 15.551828082687999, 'Error': 2.229025112064, 'Time': 0.00023651123046875, 'Epsilon': 0.01, 'Max V': 15.551828082687999, 'Mean V': 7.453985123669333}, {'State': None, 'Action': None, 'Reward': 17.610529991950337, 'Error': 1.4444082726174736, 'Time': 0.0002830028533935547, 'Epsilon': 0.01, 'Max V': 17.610529991950337, 'Mean V': 9.25949779317009}, {'State': None, 'Action': None, 'Reward': 19.4482206306709, 'Error': 0.06456427138252874, 'Time': 0.00032901763916015625, 'Epsilon': 0.01, 'Max V': 19.4482206306709, 'Mean V': 11.086427719993567}, {'State': None, 'Action': None, 'Reward': 21.20620547378992, 'Error': 3.552713678800501e-15, 'Time': 0.00037407875061035156, 'Epsilon': 0.01, 'Max V': 21.20620547378992, 'Mean V': 12.844412563112586}]"
4,49,9,0.000416666666666667,22.56158650784186,0.002092123031616211,0.0006163120269775391,9,"(0, 0, 0, 0, 0, 0, 0)","(5.384809522954562, 7.310687219777857, 9.539712331841857, 12.119602507841858, 15.105586507841856, 18.56158650784186, 22.56158650784186)","[{'State': None, 'Action': None, 'Reward': 4.0, 'Error': 4.0, 'Time': 3.218650817871094e-05, 'Epsilon': 0.01, 'Max V': 4.0, 'Mean V': 1.2857142857142858}, {'State': None, 'Action': None, 'Reward': 7.4559999999999995, 'Error': 3.4559999999999995, 'Time': 8.916854858398438e-05, 'Epsilon': 0.01, 'Max V': 7.4559999999999995, 'Mean V': 2.2537142857142856}, {'State': None, 'Action': None, 'Reward': 10.524928, 'Error': 2.985984, 'Time': 0.0001399517059326172, 'Epsilon': 0.01, 'Max V': 10.524928, 'Mean V': 3.7934354285714282}, {'State': None, 'Action': None, 'Reward': 13.184444416, 'Error': 2.5798901760000006, 'Time': 0.00018906593322753906, 'Epsilon': 0.01, 'Max V': 13.184444416, 'Mean V': 5.189924132571428}, {'State': None, 'Action': None, 'Reward': 15.551828082687999, 'Error': 2.229025112064, 'Time': 0.0002357959747314453, 'Epsilon': 0.01, 'Max V': 15.551828082687999, 'Mean V': 6.761227402093714}, {'State': None, 'Action': None, 'Reward': 17.610529991950337, 'Error': 1.9258776968232976, 'Time': 0.00028324127197265625, 'Epsilon': 0.01, 'Max V': 17.610529991950337, 'Mean V': 8.327784577728512}, {'State': None, 'Action': None, 'Reward': 19.4482206306709, 'Error': 1.663958330055328, 'Time': 0.0003292560577392578, 'Epsilon': 0.01, 'Max V': 19.4482206306709, 'Mean V': 9.873784800556502}, {'State': None, 'Action': None, 'Reward': 21.05266364415733, 'Error': 0.32648363815049875, 'Time': 0.0003743171691894531, 'Epsilon': 0.01, 'Max V': 21.05266364415733, 'Mean V': 11.431587294307146}, {'State': None, 'Action': None, 'Reward': 22.56158650784186, 'Error': 3.552713678800501e-15, 'Time': 0.0004191398620605469, 'Epsilon': 0.01, 'Max V': 22.56158650784186, 'Mean V': 12.940510157991671}]"
5,64,10,0.000416666666666667,23.7811301303814,0.002521038055419922,0.0006473064422607422,10,"(0, 0, 0, 0, 0, 0, 0, 0)","(4.940394815438778, 6.604353145494106, 8.530230842317403, 10.759255954381402, 13.339146130381401, 16.3251301303814, 19.7811301303814, 23.7811301303814)","[{'State': None, 'Action': None, 'Reward': 4.0, 'Error': 4.0, 'Time': 3.123283386230469e-05, 'Epsilon': 0.01, 'Max V': 4.0, 'Mean V': 1.25}, {'State': None, 'Action': None, 'Reward': 7.4559999999999995, 'Error': 3.4559999999999995, 'Time': 8.845329284667969e-05, 'Epsilon': 0.01, 'Max V': 7.4559999999999995, 'Mean V': 2.097}, {'State': None, 'Action': None, 'Reward': 10.524928, 'Error': 2.985984, 'Time': 0.00013780593872070312, 'Epsilon': 0.01, 'Max V': 10.524928, 'Mean V': 3.5479359999999995}, {'State': None, 'Action': None, 'Reward': 13.184444416, 'Error': 2.5798901760000006, 'Time': 0.00018453598022460938, 'Epsilon': 0.01, 'Max V': 13.184444416, 'Mean V': 4.779816896}, {'State': None, 'Action': None, 'Reward': 15.551828082687999, 'Error': 2.229025112064, 'Time': 0.00022983551025390625, 'Epsilon': 0.01, 'Max V': 15.551828082687999, 'Mean V': 6.241659110912}, {'State': None, 'Action': None, 'Reward': 17.610529991950337, 'Error': 1.9258776968232976, 'Time': 0.0002758502960205078, 'Epsilon': 0.01, 'Max V': 17.610529991950337, 'Mean V': 7.628999666147328}, {'State': None, 'Action': None, 'Reward': 19.4482206306709, 'Error': 1.6639583300553271, 'Time': 0.0003216266632080078, 'Epsilon': 0.01, 'Max V': 19.4482206306709, 'Mean V': 9.055465097519201}, {'State': None, 'Action': None, 'Reward': 21.05266364415733, 'Error': 1.0782449978758528, 'Time': 0.000370025634765625, 'Epsilon': 0.01, 'Max V': 21.05266364415733, 'Mean V': 10.393154544961838}, {'State': None, 'Action': None, 'Reward': 22.48941741730822, 'Error': 0.9121969703299744, 'Time': 0.0004184246063232422, 'Epsilon': 0.01, 'Max V': 22.48941741730822, 'Mean V': 11.715883696821482}, {'State': None, 'Action': None, 'Reward': 23.7811301303814, 'Error': 2.6645352591003757e-15, 'Time': 0.00046324729919433594, 'Epsilon': 0.01, 'Max V': 23.7811301303814, 'Mean V': 13.007596409894662}]"
6,81,12,0.000416666666666667,25.9398228346223,0.003565073013305664,0.0007348060607910156,12,"(0, 0, 0, 0, 0, 0, 0, 0, 0)","(5.661427522511879, 7.099087519679682, 8.76304584973501, 10.688923546558303, 12.917948658622302, 15.497838834622298, 18.483822834622302, 21.9398228346223, 25.9398228346223)","[{'State': None, 'Action': None, 'Reward': 4.0, 'Error': 4.0, 'Time': 3.24249267578125e-05, 'Epsilon': 0.01, 'Max V': 4.0, 'Mean V': 1.2222222222222223}, {'State': None, 'Action': None, 'Reward': 7.4559999999999995, 'Error': 3.4559999999999995, 'Time': 8.916854858398438e-05, 'Epsilon': 0.01, 'Max V': 7.4559999999999995, 'Mean V': 1.975111111111111}, {'State': None, 'Action': None, 'Reward': 10.524928, 'Error': 2.985984, 'Time': 0.00014019012451171875, 'Epsilon': 0.01, 'Max V': 10.524928, 'Mean V': 3.356992}, {'State': None, 'Action': None, 'Reward': 13.184444416, 'Error': 2.5798901760000006, 'Time': 0.00018715858459472656, 'Epsilon': 0.01, 'Max V': 13.184444416, 'Mean V': 4.460844600888889}, {'State': None, 'Action': None, 'Reward': 15.551828082687999, 'Error': 2.229025112064, 'Time': 0.000232696533203125, 'Epsilon': 0.01, 'Max V': 15.551828082687999, 'Mean V': 5.837550439992889}, {'State': None, 'Action': None, 'Reward': 17.610529991950337, 'Error': 1.9258776968232976, 'Time': 0.0002779960632324219, 'Epsilon': 0.01, 'Max V': 17.610529991950337, 'Mean V': 7.085500290473074}, {'State': None, 'Action': None, 'Reward': 19.4482206306709, 'Error': 1.6639583300553271, 'Time': 0.0003223419189453125, 'Epsilon': 0.01, 'Max V': 19.4482206306709, 'Mean V': 8.41899421737908}, {'State': None, 'Action': None, 'Reward': 21.05266364415733, 'Error': 1.437659997167803, 'Time': 0.00036716461181640625, 'Epsilon': 0.01, 'Max V': 21.05266364415733, 'Mean V': 9.626582950252383}, {'State': None, 'Action': None, 'Reward': 22.48941741730822, 'Error': 1.2421382375529832, 'Time': 0.00041174888610839844, 'Epsilon': 0.01, 'Max V': 22.48941741730822, 'Mean V': 10.821809843879084}, {'State': None, 'Action': None, 'Reward': 23.74945576872799, 'Error': 0.8049055779343348, 'Time': 0.0004565715789794922, 'Epsilon': 0.01, 'Max V': 23.74945576872799, 'Mean V': 11.953472221617561}, {'State': None, 'Action': None, 'Reward': 24.881821650609275, 'Error': 0.3028131520104633, 'Time': 0.0005002021789550781, 'Epsilon': 0.01, 'Max V': 24.881821650609275, 'Mean V': 13.052192197719904}, {'State': None, 'Action': None, 'Reward': 25.9398228346223, 'Error': 7.105427357601002e-15, 'Time': 0.0005474090576171875, 'Epsilon': 0.01, 'Max V': 25.9398228346223, 'Mean V': 14.110193381732932}]"
7,100,14,0.000416666666666667,27.643142947930798,0.0047092437744140625,0.0008189678192138672,14,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(6.122609398267392, 7.364747635820375, 8.802407632988176, 10.466365963043506, 12.392243659866796, 14.621268771930795, 17.2011589479308, 20.1871429479308, 23.643142947930798, 27.643142947930798)","[{'State': None, 'Action': None, 'Reward': 4.0, 'Error': 4.0, 'Time': 3.147125244140625e-05, 'Epsilon': 0.01, 'Max V': 4.0, 'Mean V': 1.2}, {'State': None, 'Action': None, 'Reward': 7.4559999999999995, 'Error': 3.4559999999999995, 'Time': 8.654594421386719e-05, 'Epsilon': 0.01, 'Max V': 7.4559999999999995, 'Mean V': 1.8776}, {'State': None, 'Action': None, 'Reward': 10.524928, 'Error': 2.985984, 'Time': 0.00013518333435058594, 'Epsilon': 0.01, 'Max V': 10.524928, 'Mean V': 3.2042367999999994}, {'State': None, 'Action': None, 'Reward': 13.184444416, 'Error': 2.5798901760000006, 'Time': 0.00018286705017089844, 'Epsilon': 0.01, 'Max V': 13.184444416, 'Mean V': 4.205666764799999}, {'State': None, 'Action': None, 'Reward': 15.551828082687999, 'Error': 2.229025112064, 'Time': 0.0002281665802001953, 'Epsilon': 0.01, 'Max V': 15.551828082687999, 'Mean V': 5.5142635032576}, {'State': None, 'Action': None, 'Reward': 17.610529991950337, 'Error': 1.9258776968232976, 'Time': 0.0002734661102294922, 'Epsilon': 0.01, 'Max V': 17.610529991950337, 'Mean V': 6.65070078993367}, {'State': None, 'Action': None, 'Reward': 19.4482206306709, 'Error': 1.6639583300553271, 'Time': 0.0003180503845214844, 'Epsilon': 0.01, 'Max V': 19.4482206306709, 'Mean V': 7.909817513266984}, {'State': None, 'Action': None, 'Reward': 21.05266364415733, 'Error': 1.437659997167803, 'Time': 0.0003616809844970703, 'Epsilon': 0.01, 'Max V': 21.05266364415733, 'Mean V': 9.013325674484818}, {'State': None, 'Action': None, 'Reward': 22.48941741730822, 'Error': 1.2421382375529832, 'Time': 0.0004050731658935547, 'Epsilon': 0.01, 'Max V': 22.48941741730822, 'Mean V': 10.139544888247462}, {'State': None, 'Action': None, 'Reward': 23.74945576872799, 'Error': 1.0732074372457796, 'Time': 0.0004487037658691406, 'Epsilon': 0.01, 'Max V': 23.74945576872799, 'Mean V': 11.176724119629492}, {'State': None, 'Action': None, 'Reward': 24.881821650609275, 'Error': 0.927251225780354, 'Time': 0.0004923343658447266, 'Epsilon': 0.01, 'Max V': 24.881821650609275, 'Mean V': 12.146821036999217}, {'State': None, 'Action': None, 'Reward': 25.879876779540396, 'Error': 0.6008587943056702, 'Time': 0.0005359649658203125, 'Epsilon': 0.01, 'Max V': 25.879876779540396, 'Mean V': 13.082841053921362}, {'State': None, 'Action': None, 'Reward': 26.780327259060922, 'Error': 0.01684136947742676, 'Time': 0.0005829334259033203, 'Epsilon': 0.01, 'Max V': 26.780327259060922, 'Mean V': 13.98160739649415}, {'State': None, 'Action': None, 'Reward': 27.643142947930798, 'Error': 1.0658141036401503e-14, 'Time': 0.0006268024444580078, 'Epsilon': 0.01, 'Max V': 27.643142947930798, 'Mean V': 14.844423085364024}]"
8,121,15,0.000416666666666667,28.30617802713266,0.005834817886352539,0.0009315013885498047,15,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(5.712437040223483, 6.785644477469261, 8.027782715022239, 9.465442712190043, 11.12940104224537, 13.055278739068667, 15.284303851132668, 17.86419402713267, 20.850178027132667, 24.30617802713266, 28.30617802713266)","[{'State': None, 'Action': None, 'Reward': 4.0, 'Error': 4.0, 'Time': 3.3855438232421875e-05, 'Epsilon': 0.01, 'Max V': 4.0, 'Mean V': 1.1818181818181819}, {'State': None, 'Action': None, 'Reward': 7.4559999999999995, 'Error': 3.4559999999999995, 'Time': 9.34600830078125e-05, 'Epsilon': 0.01, 'Max V': 7.4559999999999995, 'Mean V': 1.7978181818181818}, {'State': None, 'Action': None, 'Reward': 10.524928, 'Error': 2.985984, 'Time': 0.0001461505889892578, 'Epsilon': 0.01, 'Max V': 10.524928, 'Mean V': 3.079255272727273}, {'State': None, 'Action': None, 'Reward': 13.184444416, 'Error': 2.5798901760000006, 'Time': 0.00019669532775878906, 'Epsilon': 0.01, 'Max V': 13.184444416, 'Mean V': 3.9968848989090904}, {'State': None, 'Action': None, 'Reward': 15.551828082687999, 'Error': 2.229025112064, 'Time': 0.0002582073211669922, 'Epsilon': 0.01, 'Max V': 15.551828082687999, 'Mean V': 5.249756009565091}, {'State': None, 'Action': None, 'Reward': 17.610529991950337, 'Error': 1.9258776968232976, 'Time': 0.0003044605255126953, 'Epsilon': 0.01, 'Max V': 17.610529991950337, 'Mean V': 6.294955744037796}, {'State': None, 'Action': None, 'Reward': 19.4482206306709, 'Error': 1.663958330055328, 'Time': 0.0003497600555419922, 'Epsilon': 0.01, 'Max V': 19.4482206306709, 'Mean V': 7.493218391720722}, {'State': None, 'Action': None, 'Reward': 21.05266364415733, 'Error': 1.437659997167804, 'Time': 0.0003952980041503906, 'Epsilon': 0.01, 'Max V': 21.05266364415733, 'Mean V': 8.511569721584083}, {'State': None, 'Action': None, 'Reward': 22.48941741730822, 'Error': 1.2421382375529832, 'Time': 0.0004405975341796875, 'Epsilon': 0.01, 'Max V': 22.48941741730822, 'Mean V': 9.581328106367046}, {'State': None, 'Action': None, 'Reward': 23.74945576872799, 'Error': 1.0732074372457787, 'Time': 0.0004863739013671875, 'Epsilon': 0.01, 'Max V': 23.74945576872799, 'Mean V': 10.54120294527562}, {'State': None, 'Action': None, 'Reward': 24.881821650609275, 'Error': 0.9272512257803522, 'Time': 0.0005314350128173828, 'Epsilon': 0.01, 'Max V': 24.881821650609275, 'Mean V': 11.462829912206825}, {'State': None, 'Action': None, 'Reward': 25.879876779540396, 'Error': 0.8011450590742255, 'Time': 0.0005800724029541016, 'Epsilon': 0.01, 'Max V': 25.879876779540396, 'Mean V': 12.331658115759403}, {'State': None, 'Action': None, 'Reward': 26.780327259060922, 'Error': 0.6921893310401313, 'Time': 0.0006258487701416016, 'Epsilon': 0.01, 'Max V': 26.780327259060922, 'Mean V': 13.127319973888753}, {'State': None, 'Action': None, 'Reward': 27.578309543620776, 'Error': 0.39785947568307467, 'Time': 0.00067138671875, 'Epsilon': 0.01, 'Max V': 27.578309543620776, 'Mean V': 13.889133215204696}, {'State': None, 'Action': None, 'Reward': 28.30617802713266, 'Error': 6.217248937900877e-15, 'Time': 0.0007212162017822266, 'Epsilon': 0.01, 'Max V': 28.30617802713266, 'Mean V': 14.617001698716582}]"
9,144,18,0.000416666666666667,30.093037387350126,0.00807046890258789,0.0010530948638916016,18,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(6.5720451746605955, 7.499296400440948, 8.572503837686725, 9.814642075239705, 11.252302072407511, 12.916260402462838, 14.842138099286132, 17.071163211350132, 19.65105338735013, 22.637037387350126, 26.093037387350126, 30.093037387350126)","[{'State': None, 'Action': None, 'Reward': 4.0, 'Error': 4.0, 'Time': 3.218650817871094e-05, 'Epsilon': 0.01, 'Max V': 4.0, 'Mean V': 1.1666666666666667}, {'State': None, 'Action': None, 'Reward': 7.4559999999999995, 'Error': 3.4559999999999995, 'Time': 8.940696716308594e-05, 'Epsilon': 0.01, 'Max V': 7.4559999999999995, 'Mean V': 1.7313333333333334}, {'State': None, 'Action': None, 'Reward': 10.524928, 'Error': 2.985984, 'Time': 0.00014019012451171875, 'Epsilon': 0.01, 'Max V': 10.524928, 'Mean V': 2.975104}, {'State': None, 'Action': None, 'Reward': 13.184444416, 'Error': 2.5798901760000006, 'Time': 0.0001895427703857422, 'Epsilon': 0.01, 'Max V': 13.184444416, 'Mean V': 3.8229000106666664}, {'State': None, 'Action': None, 'Reward': 15.551828082687999, 'Error': 2.229025112064, 'Time': 0.00023651123046875, 'Epsilon': 0.01, 'Max V': 15.551828082687999, 'Mean V': 5.029333098154666}, {'State': None, 'Action': None, 'Reward': 17.610529991950337, 'Error': 1.9258776968232976, 'Time': 0.0002899169921875, 'Epsilon': 0.01, 'Max V': 17.610529991950337, 'Mean V': 5.9985015391245655}, {'State': None, 'Action': None, 'Reward': 19.4482206306709, 'Error': 1.663958330055328, 'Time': 0.0003387928009033203, 'Epsilon': 0.01, 'Max V': 19.4482206306709, 'Mean V': 7.146052457098837}, {'State': None, 'Action': None, 'Reward': 21.05266364415733, 'Error': 1.437659997167804, 'Time': 0.000385284423828125, 'Epsilon': 0.01, 'Max V': 21.05266364415733, 'Mean V': 8.093439760833471}, {'State': None, 'Action': None, 'Reward': 22.48941741730822, 'Error': 1.2421382375529832, 'Time': 0.0004305839538574219, 'Epsilon': 0.01, 'Max V': 22.48941741730822, 'Mean V': 9.116147454800036}, {'State': None, 'Action': None, 'Reward': 23.74945576872799, 'Error': 1.0732074372457787, 'Time': 0.00047659873962402344, 'Epsilon': 0.01, 'Max V': 23.74945576872799, 'Mean V': 10.011601966647392}, {'State': None, 'Action': None, 'Reward': 24.881821650609275, 'Error': 0.9272512257803522, 'Time': 0.0005218982696533203, 'Epsilon': 0.01, 'Max V': 24.881821650609275, 'Mean V': 10.892837308213165}, {'State': None, 'Action': None, 'Reward': 25.879876779540396, 'Error': 0.8011450590742255, 'Time': 0.0005679130554199219, 'Epsilon': 0.01, 'Max V': 25.879876779540396, 'Mean V': 11.70567233395777}, {'State': None, 'Action': None, 'Reward': 26.780327259060922, 'Error': 0.6921893310401313, 'Time': 0.0006136894226074219, 'Epsilon': 0.01, 'Max V': 26.780327259060922, 'Mean V': 12.466804744013045}, {'State': None, 'Action': None, 'Reward': 27.578309543620776, 'Error': 0.5980515820186758, 'Time': 0.0006589889526367188, 'Epsilon': 0.01, 'Max V': 27.578309543620776, 'Mean V': 13.177571172861844}, {'State': None, 'Action': None, 'Reward': 28.301312822892893, 'Error': 0.5167165668641358, 'Time': 0.0007042884826660156, 'Epsilon': 0.01, 'Max V': 28.301312822892893, 'Mean V': 13.825219952799607}, {'State': None, 'Action': None, 'Reward': 28.945791180575167, 'Error': 0.33483233532795964, 'Time': 0.0007503032684326172, 'Epsilon': 0.01, 'Max V': 28.945791180575167, 'Mean V': 14.439382121199408}, {'State': None, 'Action': None, 'Reward': 29.532346499758667, 'Error': 0.0250231127573306, 'Time': 0.0007991790771484375, 'Epsilon': 0.01, 'Max V': 29.532346499758667, 'Mean V': 15.023852180986466}, {'State': None, 'Action': None, 'Reward': 30.093037387350126, 'Error': 7.105427357601002e-15, 'Time': 0.0008451938629150391, 'Epsilon': 0.01, 'Max V': 30.093037387350126, 'Mean V': 15.584543068577927}]"
