,gammas,conv_iters,threshold,max_value,times_api,times_real,policy_updates,policies,V,all_stats
0,0.05,2,0.18999999999999997,4.18,0.00012373924255371094,0.0003414154052734375,2,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0)","(0.045000000000000005, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 4.18)","[{'State': None, 'Action': None, 'Reward': 4.0, 'Error': 4.0, 'Time': 3.337860107421875e-05, 'Epsilon': 0.01, 'Max V': 4.0, 'Mean V': 1.1}, {'State': None, 'Action': None, 'Reward': 4.18, 'Error': 0.17999999999999972, 'Time': 9.036064147949219e-05, 'Epsilon': 0.01, 'Max V': 4.18, 'Mean V': 1.11125}]"
1,0.1,3,0.09000000000000001,4.3933,0.0002646446228027344,0.0003876686096191406,3,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0)","(0.09090000000000001, 1.009, 1.009, 1.009, 1.009, 1.009, 1.009, 1.009, 1.009, 1.009, 1.009, 1.009, 1.009, 1.009, 1.009, 1.009, 1.009, 1.009, 1.009, 4.3933)","[{'State': None, 'Action': None, 'Reward': 4.0, 'Error': 4.0, 'Time': 3.314018249511719e-05, 'Epsilon': 0.01, 'Max V': 4.0, 'Mean V': 1.1}, {'State': None, 'Action': None, 'Reward': 4.36, 'Error': 0.3600000000000003, 'Time': 9.036064147949219e-05, 'Epsilon': 0.01, 'Max V': 4.36, 'Mean V': 1.1225}, {'State': None, 'Action': None, 'Reward': 4.3933, 'Error': 0.032399999999999665, 'Time': 0.000141143798828125, 'Epsilon': 0.01, 'Max V': 4.3933, 'Mean V': 1.13231}]"
2,0.15000000000000002,4,0.056666666666666664,4.62507025,0.0004470348358154297,0.0004279613494873047,4,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0)","(0.13978912500000001, 1.02055375, 1.02055375, 1.02055375, 1.02055375, 1.02055375, 1.02055375, 1.02055375, 1.02055375, 1.02055375, 1.02055375, 1.02055375, 1.02055375, 1.02055375, 1.02055375, 1.02055375, 1.02055375, 1.02055375, 1.02055375, 4.62507025)","[{'State': None, 'Action': None, 'Reward': 4.0, 'Error': 4.0, 'Time': 3.24249267578125e-05, 'Epsilon': 0.01, 'Max V': 4.0, 'Mean V': 1.1}, {'State': None, 'Action': None, 'Reward': 4.54, 'Error': 0.54, 'Time': 8.916854858398438e-05, 'Epsilon': 0.01, 'Max V': 4.54, 'Mean V': 1.1337499999999998}, {'State': None, 'Action': None, 'Reward': 4.614925, 'Error': 0.07290000000000038, 'Time': 0.00013899803161621094, 'Epsilon': 0.01, 'Max V': 4.614925, 'Mean V': 1.1558225000000002}, {'State': None, 'Action': None, 'Reward': 4.62507025, 'Error': 0.009841500000000059, 'Time': 0.00018644332885742188, 'Epsilon': 0.01, 'Max V': 4.62507025, 'Mean V': 1.15674134375}]"
3,0.2,4,0.04,4.877248,0.0004439353942871094,0.0004277229309082031,4,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0)","(0.19015200000000002, 1.03672, 1.03672, 1.03672, 1.03672, 1.03672, 1.03672, 1.03672, 1.03672, 1.03672, 1.03672, 1.03672, 1.03672, 1.03672, 1.03672, 1.03672, 1.03672, 1.03672, 1.03672, 4.877248)","[{'State': None, 'Action': None, 'Reward': 4.0, 'Error': 4.0, 'Time': 3.218650817871094e-05, 'Epsilon': 0.01, 'Max V': 4.0, 'Mean V': 1.1}, {'State': None, 'Action': None, 'Reward': 4.72, 'Error': 0.7199999999999998, 'Time': 8.845329284667969e-05, 'Epsilon': 0.01, 'Max V': 4.72, 'Mean V': 1.145}, {'State': None, 'Action': None, 'Reward': 4.8532, 'Error': 0.12960000000000044, 'Time': 0.00013780593872070312, 'Epsilon': 0.01, 'Max V': 4.8532, 'Mean V': 1.1842400000000004}, {'State': None, 'Action': None, 'Reward': 4.877248, 'Error': 0.02332799999999957, 'Time': 0.00018548965454101562, 'Epsilon': 0.01, 'Max V': 4.877248, 'Mean V': 1.1864180000000002}]"
4,0.25,5,0.03,5.1659816406250005,0.0007069110870361328,0.0004818439483642578,5,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0)","(0.24405820312499998, 1.06085546875, 1.06085546875, 1.06085546875, 1.06085546875, 1.06085546875, 1.06085546875, 1.06085546875, 1.06085546875, 1.06085546875, 1.06085546875, 1.06085546875, 1.06085546875, 1.06085546875, 1.06085546875, 1.06085546875, 1.06085546875, 1.06085546875, 1.165981640625, 5.1659816406250005)","[{'State': None, 'Action': None, 'Reward': 4.0, 'Error': 4.0, 'Time': 3.266334533691406e-05, 'Epsilon': 0.01, 'Max V': 4.0, 'Mean V': 1.1}, {'State': None, 'Action': None, 'Reward': 4.9, 'Error': 0.9000000000000004, 'Time': 9.489059448242188e-05, 'Epsilon': 0.01, 'Max V': 4.9, 'Mean V': 1.15625}, {'State': None, 'Action': None, 'Reward': 5.108125, 'Error': 0.2024999999999999, 'Time': 0.0001461505889892578, 'Epsilon': 0.01, 'Max V': 5.108125, 'Mean V': 1.22015625}, {'State': None, 'Action': None, 'Reward': 5.15509375, 'Error': 0.04556249999999995, 'Time': 0.00019359588623046875, 'Epsilon': 0.01, 'Max V': 5.15509375, 'Mean V': 1.22668828125}, {'State': None, 'Action': None, 'Reward': 5.1659816406250005, 'Error': 0.010251562500000727, 'Time': 0.0002396106719970703, 'Epsilon': 0.01, 'Max V': 5.1659816406250005, 'Mean V': 1.2305282226562497}]"
5,0.3,5,0.02333333333333333,5.48343913,0.0006818771362304688,0.0004744529724121094,5,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0)","(0.30153248999999993, 1.0900639, 1.0900639, 1.0900639, 1.0900639, 1.0900639, 1.0900639, 1.0900639, 1.0900639, 1.0900639, 1.0900639, 1.0900639, 1.0900639, 1.0900639, 1.0900639, 1.0900639, 1.0900639, 1.0900639, 1.4834391299999998, 5.48343913)","[{'State': None, 'Action': None, 'Reward': 4.0, 'Error': 4.0, 'Time': 3.314018249511719e-05, 'Epsilon': 0.01, 'Max V': 4.0, 'Mean V': 1.1}, {'State': None, 'Action': None, 'Reward': 5.08, 'Error': 1.08, 'Time': 8.988380432128906e-05, 'Epsilon': 0.01, 'Max V': 5.08, 'Mean V': 1.1715}, {'State': None, 'Action': None, 'Reward': 5.3797, 'Error': 0.29159999999999986, 'Time': 0.0001399517059326172, 'Epsilon': 0.01, 'Max V': 5.3797, 'Mean V': 1.2707249999999999}, {'State': None, 'Action': None, 'Reward': 5.460862, 'Error': 0.07873200000000002, 'Time': 0.00018644332885742188, 'Epsilon': 0.01, 'Max V': 5.460862, 'Mean V': 1.2820123499999998}, {'State': None, 'Action': None, 'Reward': 5.48343913, 'Error': 0.021257640000000244, 'Time': 0.00023245811462402344, 'Epsilon': 0.01, 'Max V': 5.48343913, 'Mean V': 1.2899748525}]"
6,0.35000000000000003,6,0.018571428571428565,5.85189520875625,0.0009679794311523438,0.0005242824554443359,6,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0)","(0.367541088665625, 1.12725445009375, 1.12725445009375, 1.12725445009375, 1.12725445009375, 1.12725445009375, 1.12725445009375, 1.12725445009375, 1.12725445009375, 1.12725445009375, 1.12725445009375, 1.12725445009375, 1.12725445009375, 1.12725445009375, 1.12725445009375, 1.12725445009375, 1.12725445009375, 1.12725445009375, 1.8518952087562501, 5.85189520875625)","[{'State': None, 'Action': None, 'Reward': 4.0, 'Error': 4.0, 'Time': 3.24249267578125e-05, 'Epsilon': 0.01, 'Max V': 4.0, 'Mean V': 1.1}, {'State': None, 'Action': None, 'Reward': 5.26, 'Error': 1.2599999999999998, 'Time': 9.036064147949219e-05, 'Epsilon': 0.01, 'Max V': 5.26, 'Mean V': 1.19175}, {'State': None, 'Action': None, 'Reward': 5.667925, 'Error': 0.3969000000000006, 'Time': 0.0001404285430908203, 'Epsilon': 0.01, 'Max V': 5.667925, 'Mean V': 1.32680625}, {'State': None, 'Action': None, 'Reward': 5.7968072500000005, 'Error': 0.12502350000000018, 'Time': 0.00018835067749023438, 'Epsilon': 0.01, 'Max V': 5.7968072500000005, 'Mean V': 1.34473014375}, {'State': None, 'Action': None, 'Reward': 5.838634170625, 'Error': 0.03938240249999997, 'Time': 0.00023508071899414062, 'Epsilon': 0.01, 'Max V': 5.838634170625, 'Mean V': 1.35948166265625}, {'State': None, 'Action': None, 'Reward': 5.85189520875625, 'Error': 0.012405456787500047, 'Time': 0.00028133392333984375, 'Epsilon': 0.01, 'Max V': 5.85189520875625, 'Mean V': 1.3617328578885939}]"
7,0.4,7,0.015,6.272009678848001,0.0012936592102050781,0.0005688667297363281,7,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0)","(0.43961005670400005, 1.1754803814399999, 1.1754803814399999, 1.1754803814399999, 1.1754803814399999, 1.1754803814399999, 1.1754803814399999, 1.1754803814399999, 1.1754803814399999, 1.1754803814399999, 1.1754803814399999, 1.1754803814399999, 1.1754803814399999, 1.1754803814399999, 1.1754803814399999, 1.1754803814399999, 1.1754803814399999, 1.1754803814399999, 2.272009678848, 6.272009678848001)","[{'State': None, 'Action': None, 'Reward': 4.0, 'Error': 4.0, 'Time': 3.2901763916015625e-05, 'Epsilon': 0.01, 'Max V': 4.0, 'Mean V': 1.1}, {'State': None, 'Action': None, 'Reward': 5.44, 'Error': 1.4400000000000004, 'Time': 9.012222290039062e-05, 'Epsilon': 0.01, 'Max V': 5.44, 'Mean V': 1.2120000000000002}, {'State': None, 'Action': None, 'Reward': 5.9728, 'Error': 0.5184000000000002, 'Time': 0.00013971328735351562, 'Epsilon': 0.01, 'Max V': 5.9728, 'Mean V': 1.3884}, {'State': None, 'Action': None, 'Reward': 6.165184, 'Error': 0.18662400000000012, 'Time': 0.00018787384033203125, 'Epsilon': 0.01, 'Max V': 6.165184, 'Mean V': 1.4151552000000003}, {'State': None, 'Action': None, 'Reward': 6.23653888, 'Error': 0.06718464000000024, 'Time': 0.0002346038818359375, 'Epsilon': 0.01, 'Max V': 6.23653888, 'Mean V': 1.44032064}, {'State': None, 'Action': None, 'Reward': 6.262393446400001, 'Error': 0.024186470400000326, 'Time': 0.00028133392333984375, 'Epsilon': 0.01, 'Max V': 6.262393446400001, 'Mean V': 1.44470971392}, {'State': None, 'Action': None, 'Reward': 6.272009678848001, 'Error': 0.008707129343999753, 'Time': 0.00032711029052734375, 'Epsilon': 0.01, 'Max V': 6.272009678848001, 'Mean V': 1.448339794944}]"
8,0.45,8,0.012222222222222223,6.756607450557208,0.0016674995422363281,0.0006139278411865234,8,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0)","(0.5228980750361385, 1.2341266615049853, 1.2341266615049853, 1.2341266615049853, 1.2341266615049853, 1.2341266615049853, 1.2341266615049853, 1.2341266615049853, 1.2341266615049853, 1.2341266615049853, 1.2341266615049853, 1.2341266615049853, 1.2341266615049853, 1.2341266615049853, 1.2341266615049853, 1.2341266615049853, 1.2341266615049853, 1.2341266615049853, 2.756607450557208, 6.756607450557208)","[{'State': None, 'Action': None, 'Reward': 4.0, 'Error': 4.0, 'Time': 3.266334533691406e-05, 'Epsilon': 0.01, 'Max V': 4.0, 'Mean V': 1.1}, {'State': None, 'Action': None, 'Reward': 5.62, 'Error': 1.62, 'Time': 9.083747863769531e-05, 'Epsilon': 0.01, 'Max V': 5.62, 'Mean V': 1.23225}, {'State': None, 'Action': None, 'Reward': 6.294325, 'Error': 0.6560999999999997, 'Time': 0.00014090538024902344, 'Epsilon': 0.01, 'Max V': 6.294325, 'Mean V': 1.4555062500000002}, {'State': None, 'Action': None, 'Reward': 6.56824675, 'Error': 0.26572050000000047, 'Time': 0.0001888275146484375, 'Epsilon': 0.01, 'Max V': 6.56824675, 'Mean V': 1.4936010562499997}, {'State': None, 'Action': None, 'Reward': 6.682543470625, 'Error': 0.10761680250000005, 'Time': 0.0002357959747314453, 'Epsilon': 0.01, 'Max V': 6.682543470625, 'Mean V': 1.5339112251562501}, {'State': None, 'Action': None, 'Reward': 6.72913423879375, 'Error': 0.04358480501250006, 'Time': 0.00028133392333984375, 'Epsilon': 0.01, 'Max V': 6.72913423879375, 'Mean V': 1.5418204788764065}, {'State': None, 'Action': None, 'Reward': 6.748629097300516, 'Error': 0.017651846030062757, 'Time': 0.00032639503479003906, 'Epsilon': 0.01, 'Max V': 6.748629097300516, 'Mean V': 1.549179693237504}, {'State': None, 'Action': None, 'Reward': 6.756607450557208, 'Error': 0.00714899764217547, 'Time': 0.0003707408905029297, 'Epsilon': 0.01, 'Max V': 6.756607450557208, 'Mean V': 1.550813311086765}]"
9,0.5,9,0.01,7.322501768476563,0.0020990371704101562,0.00066375732421875,9,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0)","(0.6185921347265625, 1.308769155859375, 1.308769155859375, 1.308769155859375, 1.308769155859375, 1.308769155859375, 1.308769155859375, 1.308769155859375, 1.308769155859375, 1.308769155859375, 1.308769155859375, 1.308769155859375, 1.308769155859375, 1.308769155859375, 1.308769155859375, 1.308769155859375, 1.308769155859375, 1.5225017684765625, 3.3225017684765628, 7.322501768476563)","[{'State': None, 'Action': None, 'Reward': 4.0, 'Error': 4.0, 'Time': 3.337860107421875e-05, 'Epsilon': 0.01, 'Max V': 4.0, 'Mean V': 1.1}, {'State': None, 'Action': None, 'Reward': 5.8, 'Error': 1.7999999999999998, 'Time': 9.107589721679688e-05, 'Epsilon': 0.01, 'Max V': 5.8, 'Mean V': 1.2525}, {'State': None, 'Action': None, 'Reward': 6.6325, 'Error': 0.8100000000000005, 'Time': 0.00014090538024902344, 'Epsilon': 0.01, 'Max V': 6.6325, 'Mean V': 1.5281250000000004}, {'State': None, 'Action': None, 'Reward': 7.00825, 'Error': 0.3645000000000005, 'Time': 0.00018858909606933594, 'Epsilon': 0.01, 'Max V': 7.00825, 'Mean V': 1.5803812499999998}, {'State': None, 'Action': None, 'Reward': 7.1824562499999995, 'Error': 0.16402499999999964, 'Time': 0.00023603439331054688, 'Epsilon': 0.01, 'Max V': 7.1824562499999995, 'Mean V': 1.6465712500000003}, {'State': None, 'Action': None, 'Reward': 7.261358125, 'Error': 0.07381125000000055, 'Time': 0.0002837181091308594, 'Epsilon': 0.01, 'Max V': 7.261358125, 'Mean V': 1.6636562031250002}, {'State': None, 'Action': None, 'Reward': 7.298041140625, 'Error': 0.03321506249999995, 'Time': 0.0003299713134765625, 'Epsilon': 0.01, 'Max V': 7.298041140625, 'Mean V': 1.6787494281249997}, {'State': None, 'Action': None, 'Reward': 7.3147218953125, 'Error': 0.014946778125000115, 'Time': 0.0003750324249267578, 'Epsilon': 0.01, 'Max V': 7.3147218953125, 'Mean V': 1.6829122561328127}, {'State': None, 'Action': None, 'Reward': 7.322501768476563, 'Error': 0.006726050156250607, 'Time': 0.0004203319549560547, 'Epsilon': 0.01, 'Max V': 7.322501768476563, 'Mean V': 1.6863201966953127}]"
